id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
10,120,3,4,0,4,0,0,0,3|3|3|3|228|228|228|228,255|255|255|255|228|228|228|228,-3|3|-3|3|-28|-28|-28|-28,3|3|-3|-3|-28|-28|-28|-28,0|0|0|0|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,302|0|0|0|57574|57568|57568|57568,0,0,0,1,255,208
11,30,2,1,0,1,0,0,0,2|232|232|226|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,20|-25|-25|-26|-29|-28|-29|-29,0|-29|-29|-29|-29|-30|-29|-29,0|-29|-29|0|-56|0|-28|0,148|58339|58339|58082|58082|58082|58082|58082,-1,0,0,28,255,208
12,0,0,1,9,1,0,0,0,2|228|228|228|228|0|200|0,8|228|228|228|228|228|228|228,0|-28|-28|-30|-29|-29|-29|-29,-1|-29|-29|-29|-29|-29|-29|-29,0|0|-27|-30|-27|-28|-28|-28,0|-27|-30|-29|-29|-29|-29|-30,21|58339|58339|58339|58851|51200|58368|58596,0,0,0,9,1,112
13,0,0,8,9,8,0,0,0,1|1|2|1|2|1|1|1,8|8|8|8|8|8|8|8,0|0|3|5|-3|-5|-6|6,2|-2|0|0|0|0|0|0,0|0|0|4|0|-4|-4|4,0|0|0|0|0|0|0|0,21|21|21|20|21|20|20|20,0,0,0,12,1,112
14,0,0,8,9,8,0,0,0,1|1|1|1|2|2|2|2,8|8|8|8|8|8|8|8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,21|21|21|21|20|20|20|20,0,0,0,12,1,112
15,0,8,5,0,5,1,0,0,114|114|114|114|114|226|226|226,255|255|255|255|255|226|226|226,0|0|0|0|0|-30|-30|-30,0|-1|-1|-4|-4|-26|-27|-27,0|-4|4|-7|7|-29|-29|-29,0|0|0|0|0|-56|0|-56,34|34|34|34|34|58112|58339|58339,1,0,0,7,6,208
16,0,0,8,9,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,21|21|21|21|20|20|20|20,0,0,0,12,1,112
17,0,5,2,0,2,1,0,0,10|10|0|200|0|0|200|0,255|255|226|0|0|0|227|227,-2|2|-29|-29|-29|-29|-29|-29,-2|-2|-29|-29|-29|-27|-28|-28,0|0|-29|-29|-29|-29|-29|-27,0|0|-28|-28|-29|-27|-28|-28,68|68|58086|58082|58082|58082|58082|58082,1,0,0,7,6,208
18,0,5,4,0,4,1,0,0,6|6|6|6|228|228|228|228,255|255|255|255|228|228|228|228,-1|1|-3|3|-28|-28|-28|-28,-2|-2|-3|-3|-28|-28|-28|-28,0|0|0|0|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,72|72|72|72|57575|57568|57568|57568,1,0,0,7,6,208
19,0,10,2,0,2,0,0,0,120|120|231|226|226|226|226|226,255|255|226|226|226|226|226|226,1|-1|-30|-30|-30|-30|-30|-30,7|7|-24|-26|-29|-27|-28|-28,0|0|-30|-30|-30|-30|-29|-29,0|0|-29|-29|0|-60|-56|-60,142|142|50376|51200|0|200|58339|58339,0,0,0,7,6,208
20,0,0,4,0,4,0,0,0,121|121|121|121|227|0|200|200,255|255|255|255|200|200|0|228,4|-4|4|-4|-27|0|-56|-60,4|4|-4|-4|-56|-56|0|0,0|0|0|0|-56|0|0|-56,0|0|0|0|-56|0|-56|-56,100|100|100|100|51396|51400|58368|58596,0,0,0,6,255,208
21,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,3|-3|3|-3|5|-5|0|0,3|3|-3|-3|0|0|5|-5,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,99|99|99|99|99|99|99|99,0,0,0,6,255,208
22,0,50,4,0,4,0,0,0,136|136|136|136|228|228|228|228,255|255|255|255|228|228|228|228,0|-6|6|0|-28|-28|-28|-28,6|0|0|-6|-28|-28|-28|-28,0|0|0|0|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,75|56|18|94|57575|57568|57568|57568,0,0,0,11,1,208
23,160,8,8,0,8,0,0,0,3|3|3|3|3|3|3|3,255|255|255|255|255|255|255|255,1|-1|2|-2|3|-3|4|-4,3|3|2|2|1|1|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,73|73|73|73|73|73|73|73,1,0,0,13,255,192
24,0,8,1,0,1,0,0,0,4|228|228|226|227|0|200|0,255|200|0|200|0|200|0|228,0|-28|-28|-28|-28|0|-56|-56,6|0|0|-56|0|-56|0|-29,0|-56|0|0|-56|0|0|-56,0|-56|-56|0|0|0|-56|0,91|51200|51200|0|200|51200|58368|58596,0,0,0,11,255,208
25,40,3,1,0,1,0,0,0,8|228|0|200|0|0|200|0,255|200|0|200|0|200|0|229,0|-27|-27|-27|-27|-27|-27|-29,13|-29|-27|-30|-29|-27|-30|-29,0|-29|-29|-29|-29|-29|-29|-29,0|-29|-27|-28|-29|-27|-28|-28,73|59111|58086|58082|58082|58082|58082|58082,0,0,0,13,255,192
26,30,2,1,0,5,0,0,0,112|112|112|112|112|228|228|228,255|255|255|255|255|228|228|228,0|-2|2|1|-1|-28|-28|-28,-3|-3|-3|-3|-3|-28|-28|-28,0|0|0|0|0|-28|-28|-28,0|0|0|0|0|-28|-29|-30,52|52|52|52|52|57568|57568|57568,1,0,0,7,6,208
27,0,0,1,9,1,0,0,0,4|230|231|225|226|226|226|226,8|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,-1|-26|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-29|-29|-29|-29,0|-29|-29|-29|-29|0|-56|0,21|200|51200|51200|0|200|58596|58084,0,0,0,9,1,112
28,0,0,8,9,8,0,0,0,1|1|1|1|0|0|0|0,8|8|8|8|4|4|4|4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,21|21|21|21|20|20|20|20,0,0,0,12,1,112
29,10,20,1,3,1,0,0,0,128|226|0|200|0|0|200|0,255|200|0|200|200|0|0|228,0|-28|-28|-28|-28|-28|-28|-30,1|-29|-27|-30|-29|-27|-30|-29,0|-29|-29|-29|-29|-29|-29|-29,0|-29|-27|-28|-29|-27|-28|-28,271|59111|58086|58082|58082|58082|58082|58082,0,0,0,8,255,208
30,40,1,2,2,4,0,0,0,2|2|2|2|228|228|228|228,255|255|255|255|228|228|228|228,116|124|116|124|-28|-28|-28|-28,12|12|12|12|-28|-28|-28|-28,-4|4|-4|4|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,206|206|207|207|57574|57568|57568|57568,0,0,0,8,255,208
31,30,3,3,0,3,0,0,0,1|1|1|225|226|226|226|226,255|255|255|226|226|226|226|226,0|0|0|-30|-30|-30|-30|-30,12|13|14|-26|-29|-27|-28|-28,0|0|0|-29|-27|-29|-29|-29,0|0|0|-29|-27|0|-56|0,135|116|97|50176|51400|196|58596|58084,0,0,0,8,255,144
32,40,4,4,0,4,0,0,0,1|1|1|1|227|0|200|200,255|255|255|255|200|200|200|0,-1|-1|1|1|-29|0|-56|0,13|14|13|14|-56|-56|-56|0,0|0|0|0|-60|-56|-56|-60,0|0|0|0|-28|0|-56|0,135|97|135|97|51396|51400|57856|58082,0,0,0,8,255,144
33,50,5,5,0,5,0,0,0,1|1|1|1|1|0|200|0,255|255|255|255|255|200|200|0,0|0|0|0|0|-28|-28|-30,12|13|14|15|16|-27|-28|-27,0|0|0|0|0|-29|-29|-27,0|0|0|0|0|-28|-28|-28,135|116|116|116|97|58082|58082|58082,0,0,0,8,255,144
34,60,3,3,0,3,0,0,0,2|2|2|228|228|228|228|228,255|255|255|228|228|228|228|228,0|0|0|-28|-28|-28|-28|-28,14|12|13|-28|-28|-28|-28|-28,0|0|0|-28|-28|-28|-28|-28,0|0|0|-28|-28|-28|-29|-30,101|139|120|59110|57574|57568|57568|57568,0,0,0,8,255,144
35,80,4,4,0,4,0,0,0,2|2|2|2|226|226|226|226,255|255|255|255|226|226|226|226,-1|-1|1|1|-30|-30|-30|-30,13|14|13|14|-29|-27|-28|-28,0|0|0|0|-27|-30|-29|-29,0|0|0|0|-27|-28|0|-30,139|101|139|101|0|58368|58596|58084,0,0,0,8,255,144
36,0,50,6,0,6,0,0,0,116|116|116|116|116|116|0|0,255|255|255|255|255|255|0|227,-6|6|5|-5|5|-5|0|-29,0|0|5|5|-5|-5|0|-29,-8|8|5|-5|5|-5|0|0,0|0|5|5|-5|-5|0|-29,102|104|122|121|141|140|58339|58339,0,0,0,11,1,208
37,0,7,2,0,2,0,0,0,1|1|227|0|0|227|0|229,255|255|226|0|0|0|0|228,0|0|-28|-28|-28|-28|-28|-30,6|6|-27|-30|-29|-27|-28|-28,0|0|-29|-29|-29|-29|-29|-27,4|-4|-28|-29|-29|-29|-29|-29,227|227|58086|58082|58082|58082|58082|58082,0,0,0,26,255,208
38,0,7,2,0,2,0,0,0,1|1|228|228|228|228|228|228,255|255|228|228|228|228|228|228,0|0|-28|-28|-28|-28|-28|-28,-6|-6|-28|-28|-28|-28|-28|-28,0|0|-28|-28|-28|-28|-28|-28,4|-4|-28|-28|-28|-28|-29|-30,227|227|59110|59111|57568|57568|57568|57568,0,0,0,26,255,208
39,0,0,0,0,0,0,0,0,224|230|231|226|226|226|226|226,226|226|226|226|226|226|226|226,-30|-30|-30|-30|-30|-30|-30|-30,-26|-26|-25|-26|-29|-27|-28|-28,-28|-28|-30|-29|-27|-30|-29|-29,-29|-29|-29|-29|-27|-28|-28|-30,58851|58338|58851|226|58082|58594|58596|58084,0,0,0,1,255,208
40,60,4,1,0,2,0,0,0,8|8|228|226|227|227|229|228,255|255|227|227|227|227|227|227,4|-4|-29|-29|-29|-29|-29|-29,10|10|-29|-29|-29|-29|-29|-29,0|0|-27|-28|-27|-28|-28|-28,0|0|-28|-27|-29|-29|-29|-29,68|69|58339|58339|58339|58339|58339|58339,0,0,0,1,255,208
41,120,2,2,0,2,0,0,0,8|8|227|227|227|227|227|229,255|255|226|227|227|229|228|228,5|-5|-30|-30|-30|-30|-28|-30,11|11|-27|-30|-29|-27|-28|-28,0|0|-29|-29|-29|-29|-29|-27,0|0|-27|-27|-27|-27|-27|-27,68|69|58086|58082|58082|58082|58082|58082,0,0,0,1,255,208
42,120,0,2,0,2,0,0,0,8|8|228|228|228|228|228|228,255|255|228|228|228|228|228|228,5|-5|-28|-28|-28|-28|-28|-28,11|11|-28|-28|-28|-28|-28|-28,0|0|-28|-28|-28|-28|-28|-28,0|0|-28|-28|-28|-28|-29|-30,68|69|59110|59110|57568|57568|57568|57568,0,0,0,1,255,208
43,130,4,1,0,1,0,0,0,10|230|232|226|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,7|-26|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-27|-30|-29|-29,0|-29|-29|-29|0|0|0|0,74|0|0|51200|0|0|57856|58082,0,0,0,1,255,208
44,160,6,1,0,1,0,0,0,15|0|0|226|0|227|229|0,255|226|227|227|227|227|227|227,0|-29|-29|-29|-29|-29|-27|-27,8|-27|-27|-27|-27|-27|-29|-29,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-30|-29|-27|-27,75|58853|58853|58339|58339|58339|58339|58339,0,0,0,1,255,208
45,30,1,1,0,1,0,0,0,4|227|227|227|227|227|227|227,255|226|226|227|227|227|226|226,0|-30|-29|-27|-27|-27|-27|-30,11|-29|-27|-30|-29|-27|-28|-28,0|-29|-29|-29|-29|-29|-29|-27,0|-29|-27|-28|-28|-28|-28|-28,64|59111|58086|58082|58082|58082|58082|58082,0,0,0,1,255,112
46,40,1,1,0,1,0,0,0,6|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,10|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-29|-30,7|59110|59110|59110|57568|57568|57568|57568,0,0,0,1,255,112
47,50,1,1,0,1,0,0,0,8|232|232|225|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,10|-26|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-27|-30|-29|-29,0|-29|-29|0|-56|-56|-60|-56,65|51396|51400|0|51200|51400|196|58339,0,0,0,1,255,144
48,30,3,1,0,1,0,0,0,7|200|196|0|200|0|0|200,255|226|227|227|227|227|227|227,0|-29|-29|-29|-29|-29|-27|-28,16|-30|-30|-30|-30|-30|-30|-29,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-30|-29|-29|-30,208|58594|58596|58338|58339|58339|58339|58339,0,0,0,1,255,208
49,0,4,2,0,2,0,0,0,1|1|227|227|227|227|227|227,255|255|227|227|227|227|227|227,-10|10|-29|-27|-28|-28|-28|-30,0|0|-27|-30|-29|-29|-30|-30,0|0|-29|-29|-29|-29|-29|-27,0|0|-27|-28|-28|-28|-28|-28,39|1|58086|58082|58082|58082|58082|58082,0,0,0,8,255,208
50,0,6,4,0,4,0,0,0,1|1|1|1|228|228|228|228,255|255|255|255|228|228|228|228,-9|9|9|-9|-28|-28|-28|-28,2|2|-2|-2|-28|-28|-28|-28,-2|2|2|-2|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,281|282|301|300|57568|57568|57568|57568,0,0,0,8,255,208
51,0,6,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,-6|6|6|-6|-9|9|0|0,6|6|-6|-6|0|0|9|-9,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,163|164|183|182|39|1|58|77,0,0,0,8,255,208
52,0,6,4,0,4,0,0,0,2|2|2|2|200|0|0|200,255|255|255|255|227|227|227|227,-9|9|9|-9|-29|-29|-27|-28,2|2|-2|-2|-29|-29|-29|-29,-2|2|2|-2|-30|-30|-30|-30,0|0|0|0|-30|-29|-29|-29,277|278|297|296|58339|58339|58339|58339,0,0,0,8,255,208
53,0,6,2,0,2,0,0,0,3|3|227|227|227|227|227|227,255|255|227|227|227|227|227|227,-10|10|-29|-29|-30|-30|-30|-30,0|0|-27|-28|-29|-29|-29|-29,0|0|-29|-27|-27|-27|-27|-27,0|0|-27|-28|-28|-28|-28|-28,102|104|58086|58082|58082|58082|58082|58082,0,0,0,8,255,208
54,0,6,4,0,4,0,0,0,3|3|3|3|228|228|228|228,255|255|255|255|228|228|228|228,-6|6|6|-6|-28|-28|-28|-28,6|6|-6|-6|-28|-28|-28|-28,0|0|0|0|-28|-28|-28|-28,0|0|0|0|-28|-28|-29|-30,121|122|141|140|57568|57568|57568|57568,0,0,0,8,255,208
55,40,1,1,0,1,0,0,0,6|231|231|226|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,10|-26|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-27|-28|-28|-28,0|-30|-29|0|-56|0|-56|0,45|200|51400|51200|51200|0|200|58339,0,0,0,1,255,112
56,20,1,1,0,1,0,0,0,2|0|200|0|200|0|0|200,255|0|227|227|227|227|227|227,-6|-29|-29|-29|-29|-29|-27|-28,6|-30|-29|-29|-29|-29|-29|-29,0|-29|-29|-29|-29|-29|-29|-29,0|-29|-29|-29|-29|-29|-29|-29,121|58851|58596|58338|58339|58339|58339|58339,0,0,0,1,255,208
57,20,1,1,0,1,0,0,0,2|227|227|227|227|227|227|227,255|227|227|227|227|227|227|227,6|-30|-29|-29|-29|-29|-29|-29,6|-29|-27|-28|-30|-29|-29|-29,0|-29|-29|-27|-28|-28|-28|-28,0|-29|-27|-28|-28|-28|-28|-28,122|59111|58086|58082|58082|58082|58082|58082,0,0,0,1,255,208
58,20,7,1,0,1,4,3,0,8|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-29|-30,4|59110|59110|59110|57568|57568|57568|57568,0,0,0,1,255,208
59,10,1,1,2,1,0,0,2,3|231|231|226|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,0|-24|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-27|-28|-28|-28,0|-30|-27|0|-56|0|-56|0,112|51400|51200|51200|51200|0|200|58339,0,0,0,1,255,208
60,60,2,2,0,2,0,0,0,4|4|200|0|196|200|200|196,255|255|0|227|227|227|227|227,0|0|-29|-29|-29|-29|-27|-28,10|10|-29|-29|-29|-29|-29|-29,-5|5|-29|-29|-29|-29|-29|-29,0|0|-29|-29|-29|-29|-29|-29,64|64|58596|58338|58339|58339|58339|58339,0,0,0,1,255,208
61,100,2,2,0,2,0,0,0,6|6|227|227|227|227|227|227,255|255|227|227|227|227|227|227,0|0|-29|-27|-27|-27|-27|-29,10|10|-27|-28|-28|-27|-27|-27,-5|5|-29|-27|-28|-28|-28|-28,0|0|-28|-29|-29|-29|-29|-29,76|76|58089|58082|58082|58082|58082|58082,0,0,0,1,255,208
62,10,1,1,2,1,0,0,2,2|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-29|-30,112|59110|59110|59366|57568|57568|57568|57568,0,0,0,1,255,208
63,10,1,1,2,1,0,0,3,2|230|231|226|226|226|226|226,255|226|226|226|226|226|226|226,0|-30|-30|-30|-30|-30|-30|-30,0|-25|-25|-26|-29|-27|-28|-28,0|-28|-30|-29|-27|-28|-28|-28,0|-30|-27|-28|0|-28|0|-28,168|0|227|228|228|58851|58624|58853,0,0,0,1,255,208
64,40,4,1,0,1,0,0,0,10|228|0|226|0|0|0|0,255|0|227|227|227|227|227|227,0|-29|-29|-29|-29|-29|-27|-28,1|-30|-29|-29|-29|-29|-29|-29,-20|-27|-27|-27|-27|-27|-27|-27,10|-27|-27|-27|-29|-29|-29|-29,207|58851|58596|58338|58339|58339|58339|58339,0,0,8,1,255,208
65,20,2,1,0,1,0,0,0,5|227|227|227|227|227|227|229,255|229|229|229|229|229|229|229,0|-30|-29|-27|-28|-28|-28|-30,2|-29|-27|-28|-28|-28|-28|-28,-20|-28|-30|-27|-28|-28|-28|-28,10|-29|-26|-27|-27|-27|-27|-27,207|59367|58088|58082|58082|58082|58082|58082,0,0,8,1,255,208
66,0,0,8,0,8,0,0,0,128|121|187|187|187|187|187|187,255|255|255|255|255|255|255|255,0|0|0|-1|1|0|1|-1,1|1|1|1|1|1|0|0,0|0|0|-12|12|0|20|-20,0|0|0|20|20|-20|-10|-10,171|171|100|171|171|171|171|171,0,0,0,6,255,208
67,0,0,4,0,4,0,0,0,2|2|2|2|226|226|226|226,255|255|255|255|226|226|226|226,3|-3|3|-3|-30|-30|-30|-30,3|3|-3|-3|-29|-27|-28|-28,0|0|0|0|-29|-30|-30|-30,0|0|0|0|-28|-28|-28|-28,99|99|99|99|58084|58851|58084|58082,0,0,0,6,255,208
68,20,1,2,2,2,0,0,0,2|2|226|226|227|227|229|228,255|255|227|227|227|227|227|227,1|-1|-29|-29|-29|-29|-29|-28,2|2|-29|-29|-29|-29|-29|-29,8|-8|-30|-30|-30|-30|-30|-30,0|0|-30|-30|-30|-29|-29|-29,112|112|58084|58338|58339|58339|58339|58339,0,0,0,1,255,208
69,0,0,2,0,2,0,0,0,4|4|227|227|227|227|227|227,255|255|226|226|226|226|226|228,0|0|-29|-27|-28|-28|-28|-30,3|3|-27|-28|-28|-28|-28|-28,-6|6|-30|-29|-30|-30|-30|-30,0|0|-27|-28|-28|-28|-28|-28,260|260|58088|58082|58082|58082|58082|58082,0,0,0,6,255,208
70,10,1,1,2,1,0,0,3,2|228|228|228|228|228|228|228,255|228|228|228|228|228|228|228,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,0|-28|-28|-28|-28|-28|-28|-28,-2|-28|-28|-28|-28|-28|-29|-30,112|59110|59110|59622|57568|57568|57568|57568,0,0,0,1,255,208
71,0,0,8,3,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,214|214|214|214|214|214|214|214,0,0,0,12,12,112
72,60,3,3,0,3,0,0,0,4|3|3|227|227|227|229|228,255|255|255|227|227|227|227|227,0|-3|3|-29|-29|-29|-29|-29,4|3|3|-29|-29|-29|-29|-29,0|0|0|-29|-29|-29|-29|-29,0|0|0|-29|-29|-29|-29|-29,94|140|141|58339|58339|58339|58339|58339,0,0,0,13,255,192
73,0,2,8,9,8,0,0,0,2|2|2|2|2|2|2|2,10|10|10|10|10|10|10|10,-9|9|-9|9|-10|10|-10|10,6|-6|-6|6|-3|3|3|-3,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,172|172|172|172|172|172|172|172,0,0,0,0,255,112
74,0,3,2,0,2,0,0,0,1|175|228|228|228|228|228|228,255|255|228|228|228|228|228|228,-7|6|-28|-28|-28|-28|-28|-28,1|6|-28|-28|-28|-28|-28|-28,2|0|-28|-28|-28|-28|-28|-28,0|0|-28|-28|-28|-28|-29|-30,246|255|59110|59622|57568|57568|57568|57568,0,0,0,8,255,208
75,0,3,2,0,2,0,0,0,174|1|232|226|226|226|226|226,255|255|226|226|226|226|226|226,-6|7|-30|-30|-30|-30|-30|-30,6|1|-25|-26|-29|-28|-29|-29,0|-2|-30|-29|-29|-29|-29|-29,0|0|-29|-27|-28|-28|-30|-30,255|246|58596|58596|58084|58851|58596|58853,0,0,0,8,255,208
76,40,4,4,0,4,0,0,0,4|4|4|4|229|229|229|228,255|255|255|255|229|229|229|229,-5|-5|5|5|-29|-29|-27|-27,0|0|0|0|-29|-29|-29|-29,0|0|0|0|-29|-29|-29|-29,0|14|0|14|-29|-29|-29|-29,105|124|106|125|58339|58853|58853|58853,0,0,0,6,255,208
77,30,4,3,0,3,0,0,0,1|1|1|227|227|227|227|229,255|255|255|229|229|229|229|229,0|-10|10|-27|-28|-28|-28|-28,-10|0|0|-30|-30|-30|-28|-28,0|0|0|-29|-29|-29|-29|-29,0|0|0|-28|-28|-28|-28|-28,77|39|1|58082|58082|58082|58082|58082,0,0,0,6,255,208
78,30,4,3,0,3,0,0,0,1|1|1|228|228|228|228|228,255|255|255|228|228|228|228|228,0|-2|2|-28|-28|-28|-28|-28,8|7|7|-28|-28|-28|-28|-28,0|0|0|-28|-28|-28|-28|-28,0|0|0|-28|-28|-28|-29|-30,58|201|202|59878|57568|57568|57568|57568,0,0,0,6,255,208
79,30,4,3,0,3,0,0,0,1|1|1|226|226|226|226|226,255|255|255|226|226|226|226|226,0|-6|6|-30|-30|-30|-30|-30,8|6|6|-26|-29|-26|-27|-28,0|0|0|-29|-29|-29|-29|-29,0|0|0|-27|-30|-28|-30|-29,58|163|164|58082|58082|58851|58596|58596,0,0,0,6,255,208
80,40,3,4,0,4,0,0,0,1|1|1|1|229|228|228|228,255|255|255|255|228|228|228|228,0|-7|7|0|-29|-29|-27|-28,10|7|7|-10|-29|-29|-29|-29,0|0|0|0|-29|-29|-29|-29,0|0|0|0|-29|-29|-29|-29,58|163|164|77|58339|58597|58596|58596,0,0,0,6,255,208
