id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
10,120,3,4,0,4,0,0,0,3|3|3|3|52|164|48|228,255|255|255|255|200|0|163|108,-3|3|-3|3|60|7|117|42,3|3|-3|-3|3|-58|6|-78,0|0|0|0|-92|48|-28|107,0|0|0|0|0|-93|108|89,302|0|0|0|25764|1734|6141|59669,0,0,0,1,255,208
11,30,2,1,0,1,0,0,0,2|52|164|48|228|5|10|0,255|108|89|233|151|0|60|9,0|30|-58|6|-79|109|-99|-58,20|-78|109|8|-96|52|-92|48,0|-47|-32|5|8|0|-93|108,0|-58|6|-74|109|1|-21|117,148|8053|1734|28081|50845|45574|2157|13472,-1,0,0,28,255,208
12,0,0,1,9,1,0,0,0,2|235|82|60|11|117|40|198,8|177|109|157|198|6|178|109,0|-96|52|-92|48|-28|107|-64,-1|5|10|0|-93|108|89|-96,0|-92|48|-28|107|-64|10|5,0|0|-94|107|89|-21|38|60,21|50722|45318|40301|1734|28082|40968|28034,0,0,0,9,1,112
13,0,0,8,9,8,0,0,0,1|1|2|1|2|1|1|1,8|8|8|8|8|8|8|8,0|0|3|5|-3|-5|-6|6,2|-2|0|0|0|0|0|0,0|0|0|4|0|-4|-4|4,0|0|0|0|0|0|0|0,21|21|21|20|21|20|20|20,0,0,0,12,1,112
14,0,0,8,9,8,0,0,0,1|1|1|1|2|2|2|2,8|8|8|8|8|8|8|8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,21|21|21|21|20|20|20|20,0,0,0,12,1,112
15,0,8,5,0,5,1,0,0,114|114|114|114|114|254|14|24,255|255|255|255|255|228|139|248,0|0|0|0|0|-127|109|-128,0|-1|-1|-4|-4|3|-23|-22,0|-4|4|-7|7|0|116|3,0|0|0|0|0|108|89|0,34|34|34|34|34|49259|50213|16958,1,0,0,7,6,208
16,0,0,8,9,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,21|21|21|21|20|20|20|20,0,0,0,12,1,112
17,0,5,2,0,2,1,0,0,10|10|0|235|60|128|62|130,255|255|117|20|196|126|6|38,-2|2|-104|-47|-24|-94|-126|109,-2|-2|109|38|-120|5|-21|33,0|0|-126|109|100|-96|-126|109,0|0|-60|126|10|38|59|5,68|68|12397|9956|1321|1515|1734|28032,1,0,0,7,6,208
18,0,5,4,0,4,1,0,0,6|6|6|6|228|139|248|198,255|255|255|255|154|223|19|7,-1|1|-3|3|7|2|-102|-64,-2|-2|-3|-3|126|14|1|117,0|0|0|0|-93|0|118|95,0|0|0|0|0|118|19|-128,72|72|72|72|57876|29696|50693|44038,1,0,0,7,6,208
19,0,10,2,0,2,0,0,0,120|120|19|226|0|117|14|128,255|255|226|0|117|7|198|6,1|-1|0|-21|34|-128|62|24,7|7|117|27|-128|62|-84|81,0|0|20|-125|62|108|89|0,0|0|-58|6|-84|81|1|-96,142|142|55784|33018|27454|89|1142|3838,0,0,0,7,6,208
20,0,0,4,0,4,0,0,0,121|121|121|121|109|157|116|110,255|255|255|255|157|117|12|128,4|-4|4|-4|117|5|-58|6,4|4|-4|-4|62|107|-92|0,0|0|0|0|109|-94|102|-92,0|0|0|0|7|117|5|-58,100|100|100|100|27137|39426|5676|567,0,0,0,6,255,208
21,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,3|-3|3|-3|5|-5|0|0,3|3|-3|-3|0|0|5|-5,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,99|99|99|99|99|99|99|99,0,0,0,6,255,208
22,0,50,4,0,4,0,0,0,136|136|136|136|108|255|54|96,255|255|255|255|226|255|54|10,0|-6|6|0|109|-118|70|14,6|0|0|-6|7|2|-21|43,0|0|0|0|104|24|1|-102,0|0|0|0|80|104|-76|0,75|56|18|94|57864|14079|57866|14079,0,0,0,11,1,208
23,160,8,8,0,8,0,0,0,3|3|3|3|3|3|3|3,255|255|255|255|255|255|255|255,1|-1|2|-2|3|-3|4|-4,3|3|2|2|1|1|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,73|73|73|73|73|73|73|73,1,0,0,13,255,192
24,0,8,1,0,1,0,0,0,4|62|110|89|0|116|53|198,255|110|89|0|128|62|182|109,0|116|7|-58|6|24|-92|15,6|5|-58|6|24|-92|-56|49,0|-93|108|89|-96|102|-92|58,0|-79|109|117|15|-58|6|102,91|1734|42088|50845|27398|164|16000|22890,0,0,0,11,255,208
25,40,3,1,0,1,0,0,0,8|41|208|139|208|184|25|0,255|194|162|129|109|160|129|109,0|-28|-117|-48|-95|94|108|5,13|0|43|-62|80|106|0|-96,0|109|48|-28|-117|-48|-95|94,0|5|7|0|3|-62|80|104,73|12186|14109|40962|28033|58416|53387|24225,0,0,0,13,255,192
26,30,2,1,0,5,0,0,0,112|112|112|112|112|5|7|0,255|255|255|255|255|104|184|0,0|-2|2|1|-1|-2|14|106,-3|-3|-3|-3|-3|-28|-103|-71,0|0|0|0|0|9|-64|117,0|0|0|0|0|1|-55|-54,52|52|52|52|52|886|63977|27397,1,0,0,7,6,208
27,0,0,1,9,1,0,0,0,4|8|0|119|3|233|224|5,8|126|8|208|2|118|3|233,0|5|107|70|8|80|-60|62,-1|-31|3|-8|-119|126|-8|-116,0|-6|-60|126|-4|38|-117|69,0|49|-46|-117|-56|-117|-38|-95,21|15257|32723|32012|59651|1452|49467|883,0,0,0,9,1,112
28,0,0,8,9,8,0,0,0,1|1|1|1|0|0|0|0,8|8|8|8|4|4|4|4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,21|21|21|21|20|20|20|20,0,0,0,12,1,112
29,10,20,1,3,1,0,0,0,128|3|233|67|5|41|202|137,255|137|14|164|109|131|62|164,0|0|127|3|-23|20|5|-117,1|-92|109|-63|-25|6|-127|-57,0|89|30|7|-119|126|-14|-116,0|-12|-118|70|18|48|-28|-117,271|7045|50340|63614|14886|1605|3700|18058,0,0,0,8,255,208
30,40,1,2,2,4,0,0,0,2|2|2|2|133|27|164|1,255|255|255|255|18|48|228|139,116|124|116|124|-92|-118|70|6,12|12|12|12|-120|69|35|49,-4|4|-4|4|28|-60|126|-8,0|0|0|0|0|-80|0|116,206|206|207|207|50188|63614|32806|19581,0,0,0,8,255,208
31,30,3,3,0,3,0,0,0,1|1|1|192|38|137|69|17,255|255|255|137|69|19|49|192,0|0|0|21|49|-64|38|-119,12|13|14|-107|0|-60|126|-8,0|0|0|76|-94|-126|109|-128,0|0|0|19|118|74|-96|-126,135|116|97|63232|37625|33698|41069|28035,0,0,0,8,255,144
32,40,4,4,0,4,0,0,0,1|1|1|1|160|130|109|48,255|255|255|255|0|247|249|162,-1|-1|1|1|109|48|-28|38,13|14|13|14|-126|109|48|-28,0|0|0|0|69|17|-21|43,0|0|0|0|-28|-60|126|-14,135|97|135|97|9956|17801|40983|28034,0,0,0,8,255,144
33,50,5,5,0,5,0,0,0,1|1|1|1|1|242|38|199,255|255|255|255|255|199|69|19,0|0|0|0|0|38|-118|69,12|13|14|15|16|-120|69|25,0|0|0|0|0|-117|-8|-118,0|0|0|0|0|-60|126|-8,135|116|116|116|97|4678|58416|63627,0,0,0,8,255,144
34,60,3,3,0,3,0,0,0,2|2|2|0|196|126|242|38,255|255|255|38|198|69|32|1,0|0|0|70|18|48|-28|-117,14|12|13|27|-92|48|-28|-60,0|0|0|-8|38|-118|69|9,0|0|0|38|-120|69|32|38,101|139|120|9976|17802|50255|62078|34854,0,0,0,8,255,144
35,80,4,4,0,4,0,0,0,2|2|2|2|38|138|69|49,255|255|255|255|138|70|18|48,-1|-1|1|1|-123|27|-92|48,13|14|13|14|3|-8|38|-118,0|0|0|0|-117|-56|-117|-38,0|0|0|0|-46|3|-63|19,139|101|139|101|28006|35737|35784|35802,0,0,0,8,255,144
36,0,50,6,0,6,0,0,0,116|116|116|116|116|116|196|126,255|255|255|255|255|255|126|248,-6|6|5|-5|5|-5|126|-14,0|0|5|5|-5|-5|18|48,-8|8|5|-5|5|-5|-92|48,0|0|5|5|-5|-5|38|-118,102|104|122|121|141|140|12306|35812,0,0,0,11,1,208
37,0,7,2,0,2,0,0,0,1|1|109|128|62|130|109|121,255|255|196|126|242|38|198|69,0|0|-58|6|-126|109|-1|-118,6|6|48|-28|-117|-8|-118|-123,0|0|48|-28|-47|-32|-60|126,4|-4|-8|38|-117|69|56|-60,227|227|6725|33574|6781|29952|35595|42046,0,0,0,26,255,208
38,0,7,2,0,2,0,0,0,1|1|107|128|62|130|109|100,255|255|128|62|130|109|120|115,0|0|-126|109|48|-28|45|100,-6|-6|-60|126|-14|38|-119|69,0|0|15|-60|126|-8|38|-117,4|-4|64|-60|126|-14|38|-119,227|227|28034|29795|32775|33342|25197|11637,0,0,0,26,255,208
39,0,0,0,0,0,0,0,0,199|6|102|109|251|255|131|62,102|109|5|126|6|199|6|102,109|5|0|-95|102|109|-60|126,-14|38|1|69|4|-128|62|-126,109|99|116|7|-128|62|-126|109,100|117|82|-118|70|18|48|-28,63627|34186|42011|58416|32452|1016|9976|17802,0,0,0,1,255,208
40,60,4,1,0,2,0,0,0,8|8|211|163|102|109|131|62,255|255|252|125|6|199|6|102,4|-4|-1|-125|62|102|109|4,10|10|-57|6|102|109|4|0,0|0|109|-60|126|-14|38|-119,0|0|-23|-118|0|-118|70|18,68|69|34186|42011|58416|32452|1016|9976,0,0,0,1,255,208
41,120,2,2,0,2,0,0,0,8|8|10|255|255|235|96|138,255|255|48|228|139|248|138|133,5|-5|48|-28|-60|126|-8|3,11|11|-128|125|33|100|126|39,0|0|18|48|-28|-117|-8|-118,0|0|-92|48|-28|-60|126|-8,68|69|8517|50328|62078|35110|1605|27809,0,0,0,1,255,208
42,120,0,2,0,2,0,0,0,8|8|48|228|196|126|248|3,255|255|138|69|33|152|247|216,5|-5|-14|38|-119|69|6|-118,11|11|48|-28|-117|-8|-118|-123,0|0|48|-28|-60|126|-8|3,0|0|-128|125|25|100|126|50,68|69|35812|35576|7045|12452|50404|63614,0,0,0,1,255,208
43,130,4,1,0,1,0,0,0,10|38|41|5|38|131|125|4,255|117|7|161|108|108|38|41,0|2|-60|126|-8|38|-128|125,7|5|119|3|-23|-92|0|-57,0|-108|109|-24|-3|-58|6|-125,0|0|-57|6|-98|109|1|0,74|1791|28062|16011|28062|48512|18979|29697,0,0,0,1,255,208
44,160,6,1,0,1,0,0,0,15|158|109|193|231|7|139|133,255|23|196|126|242|38|43|69,0|-103|49|-48|41|-48|-117|-56,8|62|-98|109|-63|-25|7|-117,0|-91|23|-60|126|-14|38|43,0|-103|49|-48|41|-48|3|-63,75|41325|28064|1595|28052|3187|41121|41837,0,0,0,1,255,208
45,30,1,1,0,1,0,0,0,4|109|196|126|242|38|136|69,255|38|198|69|37|5|196|126,0|38|-118|69|9|48|-28|45,11|0|-60|126|-14|38|-120|69,0|-21|8|-60|126|-14|38|-58,0|36|0|-60|126|-8|38|-118,64|18058|12306|35812|35064|3989|41380|28048,0,0,0,1,255,112
46,40,1,1,0,1,0,0,0,6|110|101|116|119|111|114|107,255|109|111|100|101|109|32|99,0|110|110|101|99|116|105|111,10|32|104|97|115|32|116|105,0|101|100|32|111|117|116|46,0|89|111|117|32|115|104|111,7|8292|26723|25445|8299|28537|29301|27936,0,0,0,1,255,112
47,50,1,1,0,1,0,0,0,8|105|110|103|115|32|97|110,255|32|112|104|121|115|105|99,0|108|32|99|111|110|110|101,10|116|105|111|110|115|46|74,0|77|97|107|101|32|115|117,0|101|32|98|111|116|104|32,65|28781|29813|29285|8307|29281|8293|29557,0,0,0,1,255,144
48,30,3,1,0,1,0,0,0,7|32|114|97|116|101|32|97,255|100|32|116|104|101|32|99,0|114|100|32|104|97|115|110,16|116|13|32|102|97|108|108,0|110|32|111|117|116|46|41,0|80|114|101|115|115|32|69,208|21061|29728|8303|25970|30068|28274|29728,0,0,0,1,255,208
49,0,4,2,0,2,0,0,0,1|1|32|112|108|97|121|101,255|255|101|120|105|116|101|100,-10|10|104|101|32|103|97|109,0|0|25|89|111|117|32|104,0|0|101|32|101|120|105|116,0|0|32|116|104|101|32|103,39|1|17675|18776|19796|18259|16942|20041,0,0,0,8,255,208
50,0,6,4,0,4,0,0,0,1|1|1|1|137|229|198|6,255|255|255|255|126|6|9|116,-9|9|9|-9|55|2|-128|62,2|2|-2|-2|3|-23|-98|0,-2|2|2|-2|117|3|-23|-107,0|0|0|0|5|117|3|-23,281|282|301|300|9174|22286|106|3482,0,0,0,8,255,208
51,0,6,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,-6|6|6|-6|-9|9|0|0,6|6|-6|-6|0|0|9|-9,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,163|164|183|182|39|1|58|77,0,0,0,8,255,208
52,0,6,4,0,4,0,0,0,2|2|2|2|162|36|14|87,255|255|255|255|10|103|2|154,-9|9|9|-9|-65|34|-5|30,2|2|-2|-2|103|2|-128|62,-2|2|2|-2|59|-128|62|87,0|0|0|0|-65|-58|36|14,277|278|297|296|32874|11162|10028|39426,0,0,0,8,255,208
53,0,6,2,0,2,0,0,0,3|3|224|0|116|233|191|228,255|255|87|154|41|54|39|2,-10|10|-102|-95|36|39|2|106,0|0|-95|36|39|2|106|3,0|0|36|39|2|106|7|-102,0|0|39|2|106|4|-102|-95,102|104|47680|1547|47682|4212|14079|47682,0,0,0,8,255,208
54,0,6,4,0,4,0,0,0,3|3|3|3|15|255|54|72,255|255|255|255|225|106|247|154,-6|6|6|-6|-95|-44|22|11,6|6|-6|-6|16|-1|54|-42,0|0|0|0|22|104|-47|-35,0|0|0|0|2|-95|-40|22,121|122|141|140|5850|14079|5848|7528,0,0,0,8,255,208
55,40,1,1,0,1,0,0,0,6|222|22|255|54|220|22|104,255|255|154|88|3|103|2|161,0|-31|11|6|48|-31|116|16,10|54|48|-31|-1|54|46|-31,0|80|-31|-102|88|3|103|2,0|58|-31|11|6|60|-31|116,45|15414|65505|14902|26849|1634|22682|26371,0,0,0,1,255,112
56,20,1,1,0,1,0,0,0,2|225|104|208|12|154|88|3,255|2|161|62|226|11|6|64,-6|116|16|-1|54|64|-30|-1,6|62|-30|104|-116|0|-102|88,0|103|2|-95|124|113|11|6,0|113|116|16|-1|54|126|113,121|29052|104|39463|856|615|7329|2944,0,0,0,1,255,208
57,20,1,1,0,1,0,0,0,2|88|3|103|2|161|48|134,255|6|50|134|116|16|255|54,6|-122|-1|54|48|-122|104|38,6|-102|88|3|103|2|-95|-94,0|11|6|-92|-110|116|16|-1,0|-92|-110|-1|54|-94|-110|104,122|22682|26371|41218|64218|1547|64220|3956,0,0,0,1,255,208
58,20,7,1,0,1,4,3,0,8|225|11|6|52|225|116|16,255|54|52|225|255|54|50|225,0|3|1|-102|88|3|103|2,0|62|-31|11|6|64|-31|116,0|-1|54|64|-31|-1|54|62,0|104|-105|1|-102|88|3|103,4|57666|1547|57668|4212|14079|57668|14079,0,0,0,1,255,208
59,10,1,1,2,1,0,0,2,3|116|17|191|224|107|30|87,255|24|108|49|210|82|80|154,0|14|7|2|-95|-28|107|11,0|-26|107|116|17|-65|-28|107,0|87|-95|26|108|49|-46|82,0|-102|-16|14|7|2|-95|-24,112|59910|29803|48913|27624|22302|6817|12652,0,0,0,1,255,208
60,60,2,2,0,2,0,0,0,4|4|100|110|30|87|161|104,255|255|210|82|80|154|240|14,0|0|-95|-56|107|11|6|-54,10|10|17|-65|-56|107|30|87,-5|5|108|49|-46|82|80|-102,0|0|7|2|-95|-52|107|11,64|64|48913|27596|22302|3745|12652|21202,0,0,0,1,255,208
61,100,2,2,0,2,0,0,0,6|6|30|87|161|16|108|49,255|255|80|154|240|14|7|2,0|0|107|11|6|-42|107|116,10|10|-44|107|30|87|-95|18,-5|5|-46|82|80|-102|-16|14,0|0|-95|-40|107|11|6|-38,76|76|27608|22302|5281|12652|21202|39504,0,0,0,1,255,208
62,10,1,1,2,1,0,0,2,2|87|161|22|108|49|210|82,255|154|240|14|7|2|160|67,0|80|-102|8|14|55|2|-128,0|6|9|116|43|-65|-2|36,0|87|-102|127|2|55|2|106,0|106|22|-102|64|34|55|2,112|9993|27138|27137|39449|8768|567|46746,0,0,0,1,255,208
63,10,1,1,2,1,0,0,3,2|117|10|191|10|37|14|87,255|168|26|55|2|128|126|6,0|117|4|-58|70|6|0|-118,0|6|48|-28|-102|113|2|103,0|-55|-54|2|0|85|-119|-27,0|70|6|48|-28|-117|-8|-118,168|12452|35812|35576|62613|35334|1606|58416,0,0,0,1,255,208
64,40,4,1,0,1,0,0,0,10|0|116|66|199|6|130|108,255|0|199|6|132|108|126|0,0|62|-29|-93|0|117|5|49,1|-93|-126|108|-128|62|-28|-93,-20|117|5|49|-64|-93|-124|108,10|-29|-93|48|-28|-93|-122|108,207|12451|41956|27784|17057|41836|28040|17569,0,0,8,1,255,208
65,20,2,1,0,1,0,0,0,5|0|160|215|163|48|228|163,255|108|160|216|163|48|228|163,0|108|-125|62|-122|108|0|117,2|49|-64|-93|-126|108|-125|62,-20|108|0|117|5|49|-64|-93,10|108|-95|94|108|-93|-120|109,207|41836|28042|34977|11629|8|42147|12652,0,0,8,1,255,208
66,0,0,8,0,8,0,0,0,128|121|187|187|187|187|187|187,255|255|255|255|255|255|255|255,0|0|0|-1|1|0|1|-1,1|1|1|1|1|1|0|0,0|0|0|-12|12|0|20|-20,0|0|0|20|20|-20|-10|-10,171|171|100|171|171|171|171|171,0,0,0,6,255,208
67,0,0,4,0,4,0,0,0,2|2|2|2|176|0|117|1,255|255|255|255|107|6|136|108,3|-3|3|-3|-31|3|-8|38,3|3|-3|-3|-80|0|117|1,0|0|0|0|107|6|-122|108,0|0|0|0|-31|3|-8|38,99|99|99|99|27782|50262|14910|993,0,0,0,6,255,208
68,20,1,2,2,2,0,0,0,2|2|6|134|108|86|196|62,255|255|3|248|38|138|69|38,1|-1|-68|108|-95|-68|108|-9,2|2|-66|108|107|6|-120|108,8|-8|62|58|-31|3|-8|38,0|0|84|-94|-57|108|107|6,112|112|14910|993|9976|17802|38950|47267,0,0,0,1,255,208
69,0,0,2,0,2,0,0,0,4|4|3|248|38|138|69|38,255|255|192|108|161|192|108|247,0|0|-62|108|-125|62|-108|108,3|3|14|-95|-108|108|-103|-71,-6|6|-9|-7|-94|-118|108|-21,0|0|6|-118|108|2|-128|62,260|260|65028|35334|47212|105|1579|27796,0,0,0,6,255,208
70,10,1,1,2,1,0,0,3,2|126|14|161|150|108|153|185,255|0|247|249|162|139|108|235,0|-58|6|-117|108|2|-128|62,0|108|0|117|4|-2|6|-117,0|-72|105|0|43|6|-106|108,-2|-32|2|-93|-110|108|-95|-110,112|27790|16033|15290|61958|30202|33600|33342,0,0,0,1,255,208
71,0,0,8,3,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,214|214|214|214|214|214|214|214,0,0,0,12,12,112
72,60,3,3,0,3,0,0,0,4|3|3|104|28|1|255|54,255|255|255|56|1|161|132|108,0|-3|3|80|106|0|-102|-16,4|3|3|-95|62|-70|-93|-112,0|0|0|-122|108|86|-60|62,0|0|0|-8|38|-128|125|85,94|140|141|34310|22124|16068|57658|63491,0,0,0,13,255,192
73,0,2,8,9,8,0,0,0,2|2|2|2|2|2|2|2,10|10|10|10|10|10|10|10,-9|9|-9|9|-10|10|-10|10,6|-6|-6|6|-3|3|3|-3,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,172|172|172|172|172|172|172|172,0,0,0,0,255,112
74,0,3,2,0,2,0,0,0,1|175|108|5|13|0|80|160,255|255|48|228|80|106|112|255,-7|6|108|106|2|106|2|-102,1|6|55|2|-21|31|104|28,2|0|-126|108|5|13|0|80,0|0|108|48|-28|80|106|112,246|255|618|618|52890|14085|33538|33854,0,0,0,8,255,208
75,0,3,2,0,2,0,0,0,174|1|108|5|13|0|80|160,255|255|48|228|80|106|112|255,-6|7|108|106|2|106|2|-102,6|1|55|2|-21|31|104|28,0|-2|-124|108|5|13|0|80,0|0|108|48|-28|80|106|112,255|246|618|618|52890|14085|33538|37950,0,0,0,8,255,208
76,40,4,4,0,4,0,0,0,4|4|4|4|108|255|255|199,255|255|255|255|0|199|6|154,-5|-5|5|5|6|-96|108|20,0|0|0|0|108|20|0|49,0|0|0|0|49|-64|-93|-98,0|14|0|14|-119|-27|-55|-53,105|124|106|125|34503|65378|150|1259,0,0,0,6,255,208
77,30,4,3,0,3,0,0,0,1|1|1|138|133|255|6|139,255|255|255|50|133|199|109|139,0|-10|10|-120|-125|99|-1|-125,-10|0|0|1|118|27|-117|-122,0|0|0|-117|-8|-118|-123|-57,0|0|0|98|-1|50|-125|99,77|39|1|25475|33791|25278|511|45173,0,0,0,6,255,208
78,30,4,3,0,3,0,0,0,1|1|1|98|255|138|131|99,255|255|255|97|255|129|190|98,0|-2|2|117|-24|-96|94|110,8|7|7|-1|116|4|-58|70,0|0|0|-122|97|-1|0|-57,0|0|0|1|0|-21|4|-1,58|201|202|35583|25475|10495|24966|33279,0,0,0,6,255,208
79,30,4,3,0,3,0,0,0,1|1|1|0|198|134|97|255,255|255|255|98|255|1|0|235,0|-6|6|98|-1|-117|-66|98,8|6|6|99|-1|48|-28|-117,0|0|0|97|-1|48|-28|-9,0|0|0|-122|97|-1|-127|-66,58|163|164|24736|14958|24966|29951|50692,0,0,0,6,255,208
80,40,3,4,0,4,0,0,0,1|1|1|1|138|134|97|255,255|255|255|255|50|131|99|255,0|-7|7|0|-127|-66|98|-1,10|7|7|-10|-96|97|110|58,0|0|0|0|4|-58|70|-1,0|0|0|0|0|117|8|-72,58|163|164|77|25790|5887|48983|28104,0,0,0,6,255,208
81,70,2,7,0,7,0,0,0,1|1|1|1|1|1|1|200,255|255|255|255|255|255|255|87,-10|10|-7|7|0|-7|7|110,0|0|7|7|-10|-7|-7|-23,0|0|0|0|0|0|0|-65,0|0|0|0|0|0|0|103,77|58|182|163|1|183|164|1425,0,0,0,6,255,208
82,30,4,3,0,3,0,0,0,1|1|1|0|131|218|0|163,255|255|255|54|104|110|154|62,0|-10|10|-93|100|110|-119|22,10|0|0|62|100|110|-116|-64,0|0|0|-60|62|100|110|-119,0|0|0|110|-115|126|-128|22,58|39|1|65367|26678|12654|20672|39504,0,0,0,6,255,208
83,80,3,8,0,8,0,0,0,184|184|184|184|184|184|184|184,255|255|255|255|255|255|255|255,120|120|120|120|120|120|120|120,6|6|6|6|6|6|6|6,-70|-50|-30|-10|10|30|50|70,0|0|0|0|0|0|0|0,98|98|98|98|98|98|98|98,0,0,0,6,1,208
84,20,2,2,0,2,0,0,0,2|184|200|10|0|0|139|126,255|255|139|133|252|254|137|70,0|0|-1|-95|112|113|-119|70,8|6|1|0|59|70|-10|118,0|0|-112|0|-119|70|-8|-21,0|0|70|-8|-117|70|-4|-119,98|98|1150|51073|63802|22294|16794|26377,0,0,0,6,1,208
85,80,3,8,0,8,0,0,0,1|2|1|2|1|2|1|2,255|255|255|255|255|255|255|255,120|120|120|120|120|120|120|120,8|8|8|8|8|8|8|8,0|0|-12|-12|12|12|-24|-24,0|14|0|14|0|14|0|14,157|159|157|159|157|159|157|159,0,0,0,6,255,208
86,10,2,1,0,1,0,0,0,189|144|129|199|64|1|43|126,255|139|70|248|59|70|246|116,0|-23|117|-1|-55|-62|2|0,0|-58|6|0|-116|-45|-114|-61,0|-37|-4|-115|-66|0|-1|-59,0|8|-84|-86|-111|48|-19|-13,238|36315|15038|5882|36183|190|5887|39511,1,0,0,6,255,208
87,0,8,1,0,1,0,0,0,30|154|145|5|103|2|141|190,4|250|22|87|141|190|186|254,120|87|106|70|49|-64|80|80,120|58|12|103|2|-102|-111|5,-40|2|-128|-66|-70|-2|10|116,-30|-23|79|1|-128|-66|-69|-2,60034|59651|325|48768|65213|29704|59651|315,0,0,0,1,255,208
