id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
38,0,7,2,0,2,0,0,0,1|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-6|-6|0|0|0|0|0|0,0|0|0|0|0|0|0|0,4|-4|0|0|0|0|0|0,227|227|0|0|0|0|0|0,0,0,0,26,255,208
39,0,0,0,0,0,0,0,0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0,0,0,1,255,208
40,60,4,1,0,2,0,0,0,8|8|0|0|0|0|0|0,255|255|0|0|0|0|0|0,4|-4|0|0|0|0|0|0,10|10|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,68|69|0|0|0|0|0|0,0,0,0,1,255,208
41,120,2,2,0,2,0,0,0,8|8|0|0|0|0|0|0,255|255|0|0|0|0|0|0,5|-5|0|0|0|0|0|0,11|11|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,68|69|0|0|0|0|0|0,0,0,0,1,255,208
42,120,0,2,0,2,0,0,0,8|8|0|0|0|0|0|0,255|255|0|0|0|0|0|0,5|-5|0|0|0|0|0|0,11|11|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,68|69|0|0|0|0|0|0,0,0,0,1,255,208
43,130,4,1,0,1,0,0,0,10|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,7|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,74|0|0|0|0|0|0|0,0,0,0,1,255,208
44,160,6,1,0,1,0,0,0,15|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,8|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,75|0|0|0|0|0|0|0,0,0,0,1,255,208
45,30,1,1,0,1,0,0,0,4|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,11|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,64|0|0|0|0|0|0|0,0,0,0,1,255,112
46,40,1,1,0,1,0,0,0,6|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,10|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,7|0|0|0|0|0|0|0,0,0,0,1,255,112
47,50,1,1,0,1,0,0,0,8|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,10|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,65|0|0|0|0|0|0|0,0,0,0,1,255,144
48,30,3,1,0,1,0,0,0,7|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,16|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,208|0|0|0|0|0|0|0,0,0,0,1,255,208
49,0,4,2,0,2,0,0,0,1|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,-10|10|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,39|1|0|0|0|0|0|0,0,0,0,8,255,208
50,0,6,4,0,4,0,0,0,1|1|1|1|0|0|0|0,255|255|255|255|0|0|0|0,-9|9|9|-9|0|0|0|0,2|2|-2|-2|0|0|0|0,-2|2|2|-2|0|0|0|0,0|0|0|0|0|0|0|0,281|282|301|300|0|0|0|0,0,0,0,8,255,208
51,0,6,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,-6|6|6|-6|-9|9|0|0,6|6|-6|-6|0|0|9|-9,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,163|164|183|182|39|1|58|77,0,0,0,8,255,208
52,0,6,4,0,4,0,0,0,2|2|2|2|0|0|0|0,255|255|255|255|0|0|0|0,-9|9|9|-9|0|0|0|0,2|2|-2|-2|0|0|0|0,-2|2|2|-2|0|0|0|0,0|0|0|0|0|0|0|0,277|278|297|296|0|0|0|0,0,0,0,8,255,208
53,0,6,2,0,2,0,0,0,3|3|0|0|0|0|0|0,255|255|0|0|0|0|0|0,-10|10|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,102|104|0|0|0|0|0|0,0,0,0,8,255,208
54,0,6,4,0,4,0,0,0,3|3|3|3|0|0|0|0,255|255|255|255|0|0|0|0,-6|6|6|-6|0|0|0|0,6|6|-6|-6|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,121|122|141|140|0|0|0|0,0,0,0,8,255,208
55,40,1,1,0,1,0,0,0,6|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,10|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,45|0|0|0|0|0|0|0,0,0,0,1,255,112
56,20,1,1,0,1,0,0,0,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,-6|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,121|0|0|0|0|0|0|0,0,0,0,1,255,208
57,20,1,1,0,1,0,0,0,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,6|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,122|0|0|0|0|0|0|0,0,0,0,1,255,208
58,20,7,1,0,1,4,3,0,8|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,4|0|0|0|0|0|0|0,0,0,0,1,255,208
59,10,1,1,2,1,0,0,2,3|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,112|0|0|0|0|0|0|0,0,0,0,13,255,208
60,60,2,2,0,2,0,0,0,4|4|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,10|10|0|0|0|0|0|0,-5|5|0|0|0|0|0|0,0|0|0|0|0|0|0|0,64|64|0|0|0|0|0|0,0,0,0,1,255,208
61,100,2,2,0,2,0,0,0,6|6|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,10|10|0|0|0|0|0|0,-5|5|0|0|0|0|0|0,0|0|0|0|0|0|0|0,76|76|0|0|0|0|0|0,0,0,0,1,255,208
62,10,1,1,2,1,0,0,2,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,112|0|0|0|0|0|0|0,0,0,0,13,255,208
63,10,1,1,2,1,0,0,3,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,168|0|0|0|0|0|0|0,0,0,0,13,255,208
64,40,4,1,0,1,0,0,0,10|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,1|0|0|0|0|0|0|0,-20|0|0|0|0|0|0|0,10|0|0|0|0|0|0|0,207|0|0|0|0|0|0|0,0,0,8,1,255,208
65,20,2,1,0,1,0,0,0,5|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,2|0|0|0|0|0|0|0,-20|0|0|0|0|0|0|0,10|0|0|0|0|0|0|0,207|0|0|0|0|0|0|0,0,0,8,1,255,208
66,0,0,8,0,8,0,0,0,128|121|187|187|187|187|187|187,255|255|255|255|255|255|255|255,0|0|0|-1|1|0|1|-1,1|1|1|1|1|1|0|0,0|0|0|-12|12|0|20|-20,0|0|0|20|20|-20|-10|-10,171|171|100|171|171|171|171|171,0,0,0,6,255,208
67,0,0,4,0,4,0,0,0,2|2|2|2|0|0|0|0,255|255|255|255|0|0|0|0,3|-3|3|-3|0|0|0|0,3|3|-3|-3|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,99|99|99|99|0|0|0|0,0,0,0,6,255,208
68,20,1,2,2,2,0,0,0,2|2|0|0|0|0|0|0,255|255|0|0|0|0|0|0,1|-1|0|0|0|0|0|0,2|2|0|0|0|0|0|0,8|-8|0|0|0|0|0|0,0|0|0|0|0|0|0|0,112|112|0|0|0|0|0|0,0,0,0,6,255,208
69,0,0,2,0,2,0,0,0,4|4|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,3|3|0|0|0|0|0|0,-6|6|0|0|0|0|0|0,0|0|0|0|0|0|0|0,260|260|0|0|0|0|0|0,0,0,0,6,255,208
70,10,1,1,2,1,0,0,3,2|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-2|0|0|0|0|0|0|0,112|0|0|0|0|0|0|0,0,0,0,13,255,208
71,0,0,8,3,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,214|214|214|214|214|214|214|214,0,0,0,12,12,112
72,60,3,3,0,3,0,0,0,4|3|3|0|0|0|0|0,255|255|255|0|0|0|0|0,0|-3|3|0|0|0|0|0,4|3|3|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,94|140|141|0|0|0|0|0,0,0,0,13,255,192
73,0,2,8,9,8,0,0,0,2|2|2|2|2|2|2|2,10|10|10|10|10|10|10|10,-9|9|-9|9|-10|10|-10|10,6|-6|-6|6|-3|3|3|-3,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,172|172|172|172|172|172|172|172,0,0,0,0,255,112
74,0,3,2,0,2,0,0,0,1|175|0|0|0|0|0|0,255|255|0|0|0|0|0|0,-7|6|0|0|0|0|0|0,1|6|0|0|0|0|0|0,2|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,246|255|0|0|0|0|0|0,0,0,0,8,255,208
75,0,3,2,0,2,0,0,0,174|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,-6|7|0|0|0|0|0|0,6|1|0|0|0|0|0|0,0|-2|0|0|0|0|0|0,0|0|0|0|0|0|0|0,255|246|0|0|0|0|0|0,0,0,0,8,255,208
76,40,4,4,0,4,0,0,0,4|4|4|4|0|0|0|0,255|255|255|255|0|0|0|0,-5|-5|5|5|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|14|0|14|0|0|0|0,105|124|106|125|0|0|0|0,0,0,0,6,255,208
77,30,4,3,0,3,0,0,0,1|1|1|0|0|0|0|0,255|255|255|0|0|0|0|0,0|-10|10|0|0|0|0|0,-10|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,77|39|1|0|0|0|0|0,0,0,0,6,255,208
78,30,4,3,0,3,0,0,0,1|1|1|0|0|0|0|0,255|255|255|0|0|0|0|0,0|-2|2|0|0|0|0|0,8|7|7|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,58|201|202|0|0|0|0|0,0,0,0,6,255,208
79,30,4,3,0,3,0,0,0,1|1|1|0|0|0|0|0,255|255|255|0|0|0|0|0,0|-6|6|0|0|0|0|0,8|6|6|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,58|163|164|0|0|0|0|0,0,0,0,6,255,208
80,40,3,4,0,4,0,0,0,1|1|1|1|0|0|0|0,255|255|255|255|0|0|0|0,0|-7|7|0|0|0|0|0,10|7|7|-10|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,58|163|164|77|0|0|0|0,0,0,0,6,255,208
81,70,2,7,0,7,0,0,0,1|1|1|1|1|1|1|0,255|255|255|255|255|255|255|0,-10|10|-7|7|0|-7|7|0,0|0|7|7|-10|-7|-7|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,77|58|182|163|1|183|164|0,0,0,0,6,255,208
82,30,4,3,0,3,0,0,0,1|1|1|0|0|0|0|0,255|255|255|0|0|0|0|0,0|-10|10|0|0|0|0|0,10|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,58|39|1|0|0|0|0|0,0,0,0,6,255,208
83,80,3,8,0,8,0,0,0,184|184|184|184|184|184|184|184,255|255|255|255|255|255|255|255,120|120|120|120|120|120|120|120,6|6|6|6|6|6|6|6,-70|-50|-30|-10|10|30|50|70,0|0|0|0|0|0|0|0,98|98|98|98|98|98|98|98,0,0,0,6,1,208
84,20,2,2,0,2,0,0,0,2|184|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,8|6|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,98|98|0|0|0|0|0|0,0,0,0,6,1,208
85,80,3,8,0,8,0,0,0,1|2|1|2|1|2|1|2,255|255|255|255|255|255|255|255,120|120|120|120|120|120|120|120,8|8|8|8|8|8|8|8,0|0|-12|-12|12|12|-24|-24,0|14|0|14|0|14|0|14,157|159|157|159|157|159|157|159,0,0,0,6,255,208
86,10,2,1,0,1,0,0,0,189|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,238|0|0|0|0|0|0|0,1,0,0,6,255,208
87,0,8,1,0,1,0,0,0,30|0|0|0|0|0|0|0,4|0|0|0|0|0|0|0,120|0|0|0|0|0|0|0,120|0|0|0|0|0|0|0,-40|0|0|0|0|0|0|0,-30|0|0|0|0|0|0|0,60034|0|0|0|0|0|0|0,0,0,0,1,255,208
88,30,3,3,0,3,0,0,0,20|20|20|0|0|0|0|0,255|255|255|0|0|0|0|0,120|120|120|0|0|0|0|0,10|10|10|0|0|0|0|0,-32|-32|-32|0|0|0|0|0,-24|0|28|0|0|0|0|0,60023|60024|60025|0|0|0|0|0,0,0,0,6,255,208
89,20,2,2,3,2,0,0,0,189|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-1|-1|0|0|0|0|0|0,0|0|0|0|0|0|0|0,-1|-1|0|0|0|0|0|0,107|107|0|0|0|0|0|0,-1,0,0,6,255,208
90,70,2,7,0,7,0,0,0,1|1|1|1|1|1|1|0,255|255|255|255|255|255|255|0,-10|10|-7|7|0|-7|7|0,0|0|7|7|-10|-7|-7|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,39|1|163|164|77|182|183|0,0,0,0,6,255,208
91,40,4,4,0,4,0,0,0,3|1|1|3|0|0|0|0,255|255|255|255|0|0|0|0,0|-2|2|0|0|0|0|0,10|7|7|10|0|0|0|0,0|0|0|0|0|0|0|0,6|0|0|-6|0|0|0|0,60|201|202|60|0|0|0|0,0,0,0,6,255,208
92,0,10,2,0,2,0,0,0,192|1|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,8|8|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,65|65|0|0|0|0|0|0,0,0,0,27,255,208
93,0,10,2,0,2,0,0,0,193|2|0|0|0|0|0|0,255|255|0|0|0|0|0|0,0|0|0|0|0|0|0|0,8|8|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,64|64|0|0|0|0|0|0,0,0,0,27,255,208
94,0,10,1,0,1,0,0,0,195|0|0|0|0|0|0|0,255|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,71|0|0|0|0|0|0|0,1,0,0,7,6,208
