id,animation,turret,fireFrequency,xMove,yMove,xAccel,yAccel,xCAccel,yCAccel,startX,startY,startXC,startYC,armor,size,graphic,explosionType,animate,shapeBank,xRev,yRev,deathGraphic,deathLevel,deathAnimation,launchFrequency,launchType,value,enemyDie,shapeBankFile
25,1,62|0|0,20|0|0,-2,2,0,0,-10,-20,100,-3,0,0,2,1,271|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,8,0,1,0,0,0,0,0,0,0,50,0,newsh2.shp
26,1,125|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,4,1,49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
27,1,126|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,4,1,51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,6,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
28,1,125|0|0,0|0|0,0,0,0,0,-12,0,0,0,0,0,4,1,49|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,1,-2,0,0,0,0,0,0,10,0,newsh2.shp
29,1,126|0|0,0|0|0,0,0,0,0,12,0,0,0,0,0,4,1,51|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,1,2,0,0,0,0,0,0,10,0,newsh2.shp
30,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,89|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,1,0,0,0,0,0,0,0,15,0,newsh2.shp
31,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,127|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,1,0,0,0,0,0,0,0,25,0,newsh2.shp
32,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,273|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
33,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,275|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
34,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,277|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
35,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,279|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
36,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,281|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
37,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,283|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
38,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,245|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
39,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,6,1,207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,0,1,0,0,0,0,0,0,0,2,0,newsh2.shp
40,9,59|0|0,60|0|0,0,0,0,0,0,0,0,0,0,0,10,1,153|155|157|157|155|155|155|153|153|0|0|0|0|0|0|0|0|0|0|0,5,2,1,0,0,0,0,0,0,0,10,0,newsh2.shp
41,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,169|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,23,0,1,0,0,0,0,0,0,0,100,0,newsh2.shp
42,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,12,1,15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
43,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,12,1,17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
44,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,12,1,53|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
45,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,12,1,55|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,9,0,1,0,0,0,0,0,0,0,10,0,newsh2.shp
46,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,162,40,0,0,0,0,0,newsh4.shp
47,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,164,40,0,0,0,0,0,newsh4.shp
48,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,14,40,0,0,0,250,0,newsh4.shp
49,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,168,40,0,0,0,0,0,newsh4.shp
50,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,18|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,170,40,0,0,0,0,0,newsh4.shp
51,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,48|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,200,40,0,0,0,0,0,newsh4.shp
52,1,0|59|0,0|10|0,0,0,0,0,0,0,0,0,0,0,254,1,50|0|202|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,3,40,-3,0,0,0,0,newsh4.shp
53,8,127|0|81,60|0|0,0,0,0,0,0,0,0,0,0,0,254,1,1|3|5|7|39|41|43|45|0|0|0|0|0|0|0|0|0|0|0|0,36,2,2,0,0,1,40,0,90,3,1,0,newsh4.shp
54,1,0|59|0,0|10|0,0,0,0,0,0,0,0,0,0,0,254,1,54|0|206|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,3,40,-3,0,0,0,0,newsh4.shp
55,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,208,40,0,0,0,0,0,newsh4.shp
56,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,238,-1,0,0,0,0,0,newsh4.shp
57,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,240,-1,0,0,0,0,0,newsh4.shp
58,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,90|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,242,40,0,0,0,0,0,newsh4.shp
59,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,92|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,244,-1,0,0,0,0,0,newsh4.shp
60,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,94|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,246,-1,0,0,0,0,0,newsh4.shp
61,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,124|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
62,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,126|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,278,-1,0,0,0,0,0,newsh4.shp
63,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,128|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,280,40,0,0,0,0,0,newsh4.shp
64,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,100,1,130|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,282,-1,0,0,0,0,0,newsh4.shp
65,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,132|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,36,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
66,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,153|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
67,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,155|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
68,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,157|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
69,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,159|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
70,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,191|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
71,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,193|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
72,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,195|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,1000,0,newsh4.shp
73,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,231|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
74,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,233|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
75,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,235|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
76,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,267|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
77,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,269|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
78,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,271|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,0,0,newsh4.shp
79,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,50,1,273|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,2,0,0,0,0,0,0,0,1000,0,newsh4.shp
80,17,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,39|43|47|191|115|119|123|267|271|267|123|119|115|191|47|43|39|0|0|0,29,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
81,17,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,41|45|49|193|117|121|125|269|273|269|125|121|117|193|49|45|41|0|0|0,29,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
82,17,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,1|5|9|153|77|81|85|229|233|229|85|81|77|153|9|5|1|0|0|0,29,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
83,17,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,3|7|11|155|79|83|87|231|235|231|87|83|79|155|11|7|3|0|0|0,29,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
84,10,59|0|0,40|0|0,0,0,0,0,0,0,0,0,0,0,14,1,55|55|93|131|93|55|55|55|55|55|0|0|0|0|0|0|0|0|0|0,1,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
85,5,0|0|0,40|0|0,0,0,0,0,0,0,0,0,0,0,14,1,169|167|165|167|169|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,2,3,0,0,0,0,0,0,0,0,0,newsh7.shp
86,5,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,14,1,207|205|203|205|207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1,2,3,0,0,0,0,0,40,463,0,0,newsh7.shp
87,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,0,3,0,0,0,0,0,0,0,0,0,newsh7.shp
88,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,201|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,0,3,0,0,0,0,0,0,0,0,0,newsh7.shp
89,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,161|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,0,3,0,0,0,0,0,0,0,0,0,newsh7.shp
90,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,20,1,163|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,0,3,0,0,0,0,0,0,0,0,0,newsh7.shp
91,1,0|0|0,0|0|0,4,0,0,0,0,0,0,0,0,0,10,1,125|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,4,0,0,0,0,0,10,454,0,502,newsh8.shp
92,1,0|0|0,0|0|0,4,0,0,0,0,0,0,0,0,0,254,1,127|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
93,10,0|0|0,0|0|0,0,1,0,0,-4,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,-6,0,0,0,0,0,0,0,0,newsh8.shp
94,10,0|0|0,0|0|0,0,2,0,0,-6,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
95,10,0|0|0,0|0|0,0,3,0,0,-12,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
96,10,0|0|0,0|0|0,0,4,0,0,0,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
97,10,0|0|0,0|0|0,0,3,0,0,12,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
98,10,0|0|0,0|0|0,0,2,0,0,6,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
99,10,0|0|0,0|0|0,0,1,0,0,4,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,6,0,0,0,0,0,0,0,0,newsh8.shp
100,3,0|0|0,0|0|0,0,1,0,0,0,0,0,0,0,0,10,1,153|155|157|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,30,454,0,0,newsh8.shp
101,3,0|0|0,0|0|0,0,1,0,0,0,0,0,0,0,0,254,1,191|193|195|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
102,3,0|0|0,0|0|0,0,6,0,0,1,-10,0,0,0,0,6,1,267|269|271|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,4,0,0,0,0,0,0,0,0,newsh8.shp
103,3,0|0|0,0|0|0,0,6,0,0,-1,-10,0,0,0,0,6,1,267|269|271|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,-4,0,0,0,0,0,0,0,0,newsh8.shp
104,4,63|63|63,30|29|28,0,1,0,0,0,0,0,0,0,0,12,1,1|3|5|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,508,newsh8.shp
105,10,0|0|0,0|0|0,0,1,0,0,-3,0,40,-13,30,0,3,0,19|38|57|76|95|114|133|152|132|151|0|0|0|0|0|0|0|0|0|0,0,1,4,-8,0,0,0,0,0,0,0,0,newsh8.shp
106,11,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,200,1,9|11|13|15|17|47|49|51|53|55|85|0|0|0|0|0|0|0|0|0,0,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
107,11,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,200,1,45|45|45|45|45|45|87|89|91|93|123|0|0|0|0|0|0|0|0|0,0,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
108,4,0|0|0,0|0|0,0,-8,0,0,4,10,0,0,0,0,20,1,115|117|119|117|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0,1,4,0,0,0,0,0,0,0,0,0,newsh8.shp
109,6,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,60,1,277|279|281|165|281|279|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,1,4,0,0,163,30,0,0,0,0,0,newsh8.shp
110,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,60,1,203|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,201,30,0,0,0,0,0,newsh8.shp
111,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,241|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,239,30,0,0,0,0,0,newsh8.shp
112,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,167|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
113,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,205|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
114,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
115,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,169|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
116,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
117,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,245|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
118,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,161|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
119,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,254,1,199|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
120,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,1,237|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,24,0,4,0,0,0,0,0,0,0,0,0,newsh8.shp
121,1,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,10,1,115|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,29,0,1,0,0,0,0,0,0,0,5,0,newsh2.shp
