file,bytes,category,contents,readBy,sourceReferences,dumpedTo,dumped
newsh(.shp,32060,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh(,1
newsh0.shp,14096,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh0,1
newsh1.shp,29941,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",episodes.c|mainint.c|sprite.c,sprites/newsh/newsh1,1
newsh2.shp,35236,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh2,1
newsh3.shp,37130,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh3,1
newsh4.shp,27109,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh4,1
newsh5.shp,35810,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh5,1
newsh6.shp,17810,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh6,1
newsh7.shp,44079,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh7,1
newsh8.shp,35152,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh8,1
newsh9.shp,38831,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh9,1
newsh@.shp,16498,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh@,1
newsh^.shp,34888,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh^,1
newsha.shp,25622,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsha,1
newshb.shp,39025,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshb,1
newshc.shp,40714,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshc,1
newshd.shp,42012,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshd,1
newshe.shp,33563,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshe,1
newshf.shp,33543,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshf,1
newshg.shp,36643,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshg,1
newshh.shp,46639,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshh,1
newshi.shp,30860,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshi,1
newshj.shp,43999,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshj,1
newshk.shp,23085,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshk,1
newshl.shp,27587,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshl,1
newshm.shp,42126,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshm,1
newshn.shp,41201,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshn,1
newsho.shp,24478,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsho,1
newshp.shp,46204,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshp,1
newshr.shp,28249,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshr,1
newshs.shp,46566,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshs,1
newsht.shp,31830,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsht,1
newshu.shp,35657,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshu,1
newshv.shp,24103,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshv,1
newsh~.shp,14929,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh~,1
ogg-0.dll,60928,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/ogg-0.dll,1
opentyrian.cfg,540,config,OpenTyrian settings written by this port,"src/config.c; player state, not shipped data",config.c|config.h|custom_weapon.c|endless.c|endless.h|endless_save.c|game_menu.c|varz.h,raw/config/opentyrian.cfg,1
opentyrian2000.exe,571904,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/opentyrian2000.exe|raw/executable/opentyrian2000.exe.strings.txt,1
opus-0.dll,553472,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/opus-0.dll,1
opusfile-0.dll,82944,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/opusfile-0.dll,1
palette.dat,18432,graphics,VGA palettes of 256 six-bit colours,src/palette.c JE_loadPals; every 8-bit draw resolves through one of these,palette.c,palettes,1
readme.txt,1919,text,Readme shipped with the game data,not read at runtime,,text/data_readme.txt,1
rtm.exe,120853,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/rtm.exe|raw/executable/rtm.exe.strings.txt,1
sdl3.dll,2438144,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/sdl3.dll,1
sdl3_mixer.dll,515584,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/sdl3_mixer.dll,1
sdl3_net.dll,128512,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/sdl3_net.dll,1
setup.box,24,misc,24-byte marker written by the DOS setup program,not read at runtime,,raw/misc/setup.box,1
setup.exe,117315,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/setup.exe|raw/executable/setup.exe.strings.txt,1
setup.pif,967,misc,Windows program information file for a DOS tool,not read at runtime,,raw/misc/setup.pif,1
shapes).dat,118720,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapes),1
shapesw.dat,172480,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesw,1
shapesx.dat,217504,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesx,1
shapesy.dat,206752,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesy,1
shapesz.dat,318976,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesz,1
shipedit.exe,143015,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/shipedit.exe|raw/executable/shipedit.exe.strings.txt,1
shipedit.pcx,13450,graphics,Backdrop for the DOS ship editor,not read at runtime,,images/pcx/shipedit.png,1
shipedit.pif,967,misc,Windows program information file for a DOS tool,not read at runtime,,raw/misc/shipedit.pif,1
tshp2.pcx,62168,graphics,PCX backdrop for the Super Tyrian ship pick and the Endless run-over screen,src/pcxload.c JE_loadPCX; src/tyrian2.c; src/endless.c ENDLESS_RUNEND_PIC,endless.c|pcxload.c|tyrian2.c,images/pcx/tshp2.png,1
tyrend.anm,3315848,animation,"Episode 3 ending animation, DeluxePaint LPF","src/animlib.c JE_playAnim, from the ']A' episode script command",tyrian2.c,anim/tyrend,1
tyrian.cdt,1078,text,"Credits roll, one colour-tagged line per record",src/mainint.c JE_playCredits,mainint.c,text/credits.txt,1
tyrian.cfg,28,config,Original Tyrian settings block,src/config.c,config.c|config.h|custom_weapon.c|endless.c|endless.h|endless_save.c|game_menu.c|switch_platform.h|varz.h|vita_platform.h,raw/config/tyrian.cfg,1
tyrian.hdt,295069,text,"Interface text, and in Tyrian 2000 the episode 1-3 item and enemy tables",src/helptext.c JE_loadHelpText; src/episodes.c JE_loadItemDat,config.h|episodes.c|helptext.c,gamedata/episodes_1-3|text/hdt_text.json,1
tyrian.pic,367161,graphics,Run-length 320x200 interface backdrops,src/picload.c JE_loadPic,picload.c,images/pic,1
tyrian.sav,4722,save,"Save slots, high scores and unlock flags","src/config.c JE_loadConfiguration; player state, not shipped data",config.c|config.h|endless.h|endless_save.c|qa.c,raw/save/tyrian.sav,1
tyrian.shp,505983,sprites,"Sprite banks: fonts, planets, faces, menu art, player shots and ships",src/sprite.c JE_loadMainShapeTables,episodes.c|mainint.c|opentyr.c|sprite.c,sprites/tyrian_shp,1
tyrian.snd,271689,audio,"Sound effects, signed 8-bit mono at 11025 Hz",src/nortsong.c loadSndFile,nortsong.c,audio/sfx,1
tyrian1.lvl,538856,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|file.c|lvllib.c,levels/episode_1,1
tyrian2.exe,84810,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/tyrian2.exe|raw/executable/tyrian2.exe.strings.txt,1
tyrian2.lvl,381187,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,levels/episode_2,1
tyrian2k.exe,4336,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/tyrian2k.exe|raw/executable/tyrian2k.exe.strings.txt,1
tyrian2k.pif,967,misc,Windows program information file for a DOS tool,not read at runtime,,raw/misc/tyrian2k.pif,1
tyrian3.lvl,393938,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,levels/episode_3,1
tyrian4.lvl,937303,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,gamedata/episode_4|levels/episode_4,1
tyrian5.lvl,521137,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,gamedata/episode_5|levels/episode_5,1
tyrianc.shp,516757,sprites,Christmas variant of tyrian.shp,"src/sprite.c JE_loadMainShapeTables, when the Christmas theme is on",opentyr.c|sprite.c,sprites/tyrianc_shp,1
tyricn2.ico,2238,graphics,Windows icon for one of the DOS-era launchers,not read at runtime,,images/icons/tyricn2.ico|images/icons/tyricn2.png,1
tyricn3.ico,2238,graphics,Windows icon for one of the DOS-era launchers,not read at runtime,,images/icons/tyricn3.ico|images/icons/tyricn3.png,1
tyricn4.ico,2238,graphics,Windows icon for one of the DOS-era launchers,not read at runtime,,images/icons/tyricn4.ico|images/icons/tyricn4.png,1
tyricon.ico,2238,graphics,Windows icon for one of the DOS-era launchers,not read at runtime,,images/icons/tyricon.ico|images/icons/tyricon.png,1
user1.shp,27674,sprites,Player ship written by the DOS ship editor,not read at runtime; browsable in the debug sprite viewer,mainint.c,sprites/standalone/user1_shp,1
user2.shp,27674,sprites,Player ship written by the DOS ship editor,not read at runtime; browsable in the debug sprite viewer,mainint.c,sprites/standalone/user2_shp,1
voices.snd,132767,audio,Voice samples in the same format,src/nortsong.c loadSndFile,nortsong.c,audio/voices,1
voicesc.snd,188275,audio,Christmas variant of voices.snd,"src/nortsong.c loadSndFile, when the Christmas theme is on",nortsong.c|opentyr.c,audio/voices_christmas,1
wavpackdll.dll,232448,library,Runtime library for the shipped Tyrian 2000 build,not read at runtime by this port,,raw/library/wavpackdll.dll,1
