file,bytes,category,contents,readBy,sourceReferences,dumpedTo,dumped
newshk.shp,22913,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshk,1
newshl.shp,14846,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshl,1
newshm.shp,22378,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshm,1
newshn.shp,41201,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshn,1
newsho.shp,24478,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsho,1
newshp.shp,46204,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshp,1
newshr.shp,28249,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshr,1
newshs.shp,46566,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshs,1
newsht.shp,14187,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsht,1
newshu.shp,35657,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshu,1
newshv.shp,23343,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newshv,1
newsh~.shp,16219,sprites,"Compiled 12px sheets: enemy shapebanks, shop, explosions, destruct","src/sprite.c JE_loadCompShapes; enemy records name the bank, src/lvlmast.c maps it to the file",mainint.c|sprite.c,sprites/newsh/newsh~,1
order.doc,6334,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/order.txt,1
order.exe,20557,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/order.exe|raw/executable/order.exe.strings.txt,1
order.tfp,272703,misc,Resource file for the DOS ordering program,not read at runtime,,raw/misc/order.tfp,1
palette.dat,17664,graphics,VGA palettes of 256 six-bit colours,src/palette.c JE_loadPals; every 8-bit draw resolves through one of these,palette.c,palettes,1
rtm.exe,120853,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/rtm.exe|raw/executable/rtm.exe.strings.txt,1
setup.box,24,misc,24-byte marker written by the DOS setup program,not read at runtime,,raw/misc/setup.box,1
setup.exe,62720,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/setup.exe|raw/executable/setup.exe.strings.txt,1
setup.ini,77,config,Language and network choice written by the DOS setup program,not read at runtime,,raw/config/setup.ini,1
setup.int,7451,config,'ITS File' string table a DOS launcher reads its interface from,not read at runtime,,raw/config/setup.int,1
shapes).dat,118720,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapes),1
shapesw.dat,172480,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesw,1
shapesx.dat,217504,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesx,1
shapesy.dat,152992,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesy,1
shapesz.dat,243712,tiles,Level tileset: 600 slots of 24x28 tiles,"src/tyrian2.c JE_loadMap, chosen by the level header",mainint.c|tyrian2.c,tiles/shapesz,1
shipedit.doc,17174,text,"DOS-era manual, licence or ordering document in CP437 text",not read at runtime,,text/docs/shipedit.txt,1
shipedit.exe,82944,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/shipedit.exe|raw/executable/shipedit.exe.strings.txt,1
shipedit.pcx,13450,graphics,Backdrop for the DOS ship editor,not read at runtime,,images/pcx/shipedit.png,1
tshp2.pcx,62168,graphics,PCX backdrop for the Super Tyrian ship pick and the Endless run-over screen,src/pcxload.c JE_loadPCX; src/tyrian2.c; src/endless.c ENDLESS_RUNEND_PIC,endless.c|pcxload.c|tyrian2.c,images/pcx/tshp2.png,1
tyrend.anm,3315848,animation,"Episode 3 ending animation, DeluxePaint LPF","src/animlib.c JE_playAnim, from the ']A' episode script command",tyrian2.c,anim/tyrend,1
tyrian.cdt,1125,text,"Credits roll, one colour-tagged line per record",src/mainint.c JE_playCredits,mainint.c,text/credits.txt,1
tyrian.exe,4336,executable,DOS or Windows executable shipped with the data,not read at runtime,,raw/executable/tyrian.exe|raw/executable/tyrian.exe.strings.txt,1
tyrian.hdt,153657,text,"Interface text, and in Tyrian 2000 the episode 1-3 item and enemy tables",src/helptext.c JE_loadHelpText; src/episodes.c JE_loadItemDat,config.h|episodes.c|helptext.c,gamedata/episodes_1-3|text/hdt_text.json,1
tyrian.ico,766,graphics,Windows icon for one of the DOS-era launchers,not read at runtime,,images/icons/tyrian.ico|images/icons/tyrian.png,1
tyrian.pic,365969,graphics,Run-length 320x200 interface backdrops,src/picload.c JE_loadPic,picload.c,images/pic,1
tyrian.shp,443871,sprites,"Sprite banks: fonts, planets, faces, menu art, player shots and ships",src/sprite.c JE_loadMainShapeTables,episodes.c|mainint.c|opentyr.c|sprite.c,sprites/tyrian_shp,1
tyrian.snd,264512,audio,"Sound effects, signed 8-bit mono at 11025 Hz",src/nortsong.c loadSndFile,nortsong.c,audio/sfx,1
tyrian1.lvl,538262,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|file.c|lvllib.c,levels/episode_1,1
tyrian2.lvl,381242,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,levels/episode_2,1
tyrian3.lvl,393398,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,levels/episode_3,1
tyrian4.lvl,800006,levels,"Level headers, event scripts and tile maps; some also hold their episode's item tables",src/lvllib.c JE_analyzeLevel; src/tyrian2.c JE_loadMap; src/episodes.c JE_loadItemDat,episodes.c|lvllib.c,gamedata/episode_4|levels/episode_4,1
tyrianc.shp,444862,sprites,Christmas variant of tyrian.shp,"src/sprite.c JE_loadMainShapeTables, when the Christmas theme is on",opentyr.c|sprite.c,sprites/tyrianc_shp,1
tyrset.pcx,53766,graphics,320x200 PCX screen carrying its own palette,not read at runtime; part of the DOS setup or network tools,,images/pcx/tyrset.png,1
user1.shp,27674,sprites,Player ship written by the DOS ship editor,not read at runtime; browsable in the debug sprite viewer,mainint.c,sprites/standalone/user1_shp,1
user2.shp,27674,sprites,Player ship written by the DOS ship editor,not read at runtime; browsable in the debug sprite viewer,mainint.c,sprites/standalone/user2_shp,1
voices.snd,132767,audio,Voice samples in the same format,src/nortsong.c loadSndFile,nortsong.c,audio/voices,1
voicesc.snd,188275,audio,Christmas variant of voices.snd,"src/nortsong.c loadSndFile, when the Christmas theme is on",nortsong.c|opentyr.c,audio/voices_christmas,1
