id,drain,shotRepeat,multi,weaponAnimation,max,tx,ty,aim,attack,del,sx,sy,bx,by,sg,acceleration,accelerationX,circleSize,sound,trail,shipBlastFilter
10,120,3,4,0,4,0,0,0,3|3|3|3|109|41|41|59,255|255|255|255|0|0|14|0,-3|3|-3|3|32|32|116|101,3|3|-3|-3|58|61|32|48,0|0|0|0|0|0|0|0,0|0|0|0|0|32|32|32,302|0|0|0|25971|23404|23858|28448,0,0,0,1,255,208
11,30,2,1,0,1,0,0,0,2|101|103|105|110|0|43|0,255|0|0|32|32|32|32|32,0|32|32|32|116|101|109|112,20|50|58|61|119|101|97|112,0|110|112|111|114|116|94|91,0|116|101|109|110|117|109|93,148|29551|15220|54|0|8192|8224|8224,-1,0,0,28,255,208
12,0,0,1,0,1,0,0,0,2|111|114|116|112|111|119|101,8|91|99|117|114|115|101|108,0|50|93|45|50|93|45|49,-1|100|111|32|98|101|103|105,0|0|33|0|0|0|0|32,0|32|32|32|32|32|32|32,20|8224|28265|10339|25972|28781|11383|25972,0,0,0,9,1,112
13,0,0,8,0,8,0,0,0,1|1|2|1|2|1|1|1,8|8|8|8|8|8|8|8,0|0|3|5|-3|-5|-6|6,2|-2|0|0|0|0|0|0,0|0|0|4|0|-4|-4|4,0|0|0|0|0|0|0|0,21|21|21|20|21|20|20|20,0,0,0,12,1,112
14,0,0,8,0,8,0,0,0,1|1|1|1|2|2|2|2,8|8|8|8|8|8|8|8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,21|21|21|21|20|20|20|20,0,0,0,12,1,112
15,0,8,5,0,5,1,0,0,114|114|114|114|114|105|100|116,255|255|255|255|255|53|48|59,0|0|0|0|0|80|105|120,0|-1|-1|-4|-4|105|100|101,0|-4|4|-7|7|0|0|118,0|0|0|0|0|0|0|32,34|34|34|34|34|8250|29811|26994,1,0,0,7,6,208
16,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,21|21|21|21|20|20|20|20,0,0,0,12,1,112
17,10,1,1,2,1,0,0,2,10|58|32|98|111|111|108|101,255|110|59|0|23|0|0|0,0|32|32|32|101|110|100|115,0|114|105|110|103|32|58|32,0|111|111|108|101|97|110|59,0|0|0|0|0|32|32|32,112|8250|26982|25964|59|29|0|8192,0,0,0,26,255,208
18,0,5,4,0,4,1,0,0,6|6|6|6|32|58|32|98,255|255|255|255|43|0|0|0,-1|1|-3|3|112|97|115|116,-2|-2|-3|-3|110|103|108|101,0|0|0|0|115|116|115|116,0|0|0|0|119|105|100|116,72|72|72|72|24933|15214|15|0,1,0,0,7,6,208
19,0,10,2,0,2,0,0,0,120|120|0|0|0|98|101|103,255|255|41|0|0|0|0|32,1|-1|102|105|108|108|99|104,7|7|40|99|117|98|101|116,0|0|116|44|115|105|122|101,0|0|40|99|117|98|101|116,142|142|12332|15145|0|0|0|36,0,0,0,7,6,208
20,0,0,4,0,4,0,0,0,121|121|121|121|116|111|32|99,255|255|255|255|97|120|32|100,4|-4|4|-4|103|105|110|0,4|4|-4|-4|0|0|28|0,0|0|0|0|32|32|32|32,0|0|0|0|101|116|102|105,100|100|100|100|18021|27753|10597|59,0,0,0,6,255,208
21,0,0,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,3|-3|3|-3|5|-5|0|0,3|3|-3|-3|0|0|5|-5,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,99|99|99|99|99|99|99|99,0,0,0,6,255,208
22,0,50,4,0,4,0,0,0,136|136|136|136|32|114|101|97,255|255|255|255|112|116|108|110,0|-6|6|0|41|59|24|0,6|0|0|-6|32|32|32|32,0|0|0|0|117|110|116|105,0|0|0|0|49|93|61|39,75|56|18|94|8192|8224|8224|8224,0,0,0,11,1,208
23,40,8,2,0,2,0,0,0,1|1|0|32|32|32|32|32,255|255|110|116|105|108|32|116,-14|-14|112|119|61|48|59|0,0|0|0|0|0|0|39|0,-8|8|0|32|32|32|32|32,0|0|97|108|40|99|111|112,99|99|11317|10546|26156|25441|28261|28021,0,0,0,13,255,192
24,0,8,1,0,1,0,0,0,4|0|0|0|0|32|32|32,255|32|32|114|101|97|100|99,0|121|112|116|108|110|40|102,6|32|99|117|98|101|104|100,0|91|99|117|98|101|93|41,0|0|36|0|0|0|0|32,91|8224|29216|24933|25444|31090|29808|28268,0,0,0,11,255,208
25,40,3,1,0,1,0,0,0,8|41|59|0|0|0|0|0,255|0|18|0|0|0|0|32,0|32|32|32|32|99|117|114,13|105|100|116|104|58|61|48,0|0|18|0|0|0|0|32,0|32|32|32|32|123|101|110,73|29551|15674|15152|125|17|0|8192,0,0,0,13,255,192
26,30,2,1,0,5,0,0,0,112|112|112|112|112|32|32|32,255|255|255|255|255|58|61|39,0|-2|2|1|-1|0|0|0,-3|-3|-3|-3|-3|32|32|32,0|0|0|0|0|91|49|93,0|0|0|0|0|59|0|0,52|52|52|52|52|8224|8224|29216,1,0,0,7,6,208
27,0,0,1,0,1,0,0,0,4|32|32|32|114|101|97|100,8|114|121|112|116|108|110|40,0|44|115|50|41|59|0|0,-1|0|0|0|33|0|0|0,0|32|32|32|32|32|32|32,0|32|105|102|32|115|50|91,21|15932|10791|8231|26740|28261|25120|26469,0,0,0,9,1,112
28,0,0,8,0,8,0,0,0,1|1|1|1|0|0|0|0,8|8|8|8|4|4|4|4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,3|-3|3|-3|0|4|-4|0,3|3|-3|-3|4|0|0|-4,21|21|21|21|20|20|20|20,0,0,0,12,1,112
29,10,20,1,3,1,0,0,0,128|0|0|0|0|0|9|0,255|0|0|32|32|32|114|101,0|101|97|116|23|0|0|0,1|32|32|32|32|115|116|97,0|116|112|111|115|58|61|101,0|100|112|111|115|43|49|59,271|0|0|10|0|8192|8224|29216,0,0,0,8,255,208
30,40,1,2,2,4,0,0,0,2|2|2|2|100|112|111|115,255|255|255|255|115|59|27|0,116|124|116|124|32|32|32|32,12|12|12|12|115|116|119|105,-4|4|-4|4|61|99|117|114,0|0|0|0|104|59|13|0,206|206|207|207|8224|25970|25968|29793,0,0,0,8,255,208
31,30,3,3,0,3,0,0,0,1|1|1|58|61|98|121|116,255|255|255|91|112|111|115|93,0|0|0|0|0|0|0|0,12|13|14|0|0|32|32|32,0|0|0|105|102|32|40|116,0|0|0|62|51|50|41|32,135|116|97|28005|15472|13873|10553|24864,0,0,0,8,255,144
32,40,4,4,0,4,0,0,0,1|1|1|1|32|97|110|100,255|255|255|255|97|112|101|97,-1|-1|1|1|94|91|54|44,13|14|13|14|109|97|112|91,0|0|0|0|93|93|60|62,0|0|0|0|32|116|104|101,135|97|135|97|8224|8224|8224|8224,0,0,0,8,255,144
33,50,5,5,0,5,0,0,0,1|1|1|1|1|54|44|102,255|255|255|255|255|112|91|116,0|0|0|0|0|43|49|41,12|13|14|15|16|32|32|32,0|0|0|0|0|32|32|101,0|0|0|0|0|0|0|0,135|116|116|116|97|16|0|8192,0,0,0,8,255,144
34,60,3,3,0,3,0,0,0,2|2|2|0|0|32|32|100,255|255|255|100|105|255|15|0,0|0|0|32|32|106|110|122,14|12|13|114|97|119|108|111,0|0|0|0|0|0|0|-1,0|0|0|0|0|40|42|32,101|139|120|26994|26727|25972|26990|26478,0,0,0,8,255,144
35,80,4,4,0,4,0,0,0,2|2|2|2|108|44|100|115,255|255|255|255|93|255|11|0,-1|-1|1|1|32|109|111|118,13|14|13|14|97|108|12|0,0|0|0|0|32|97|110|100,0|0|0|0|36|70|48|-1,139|101|139|101|25710|24864|11372|12324,0,0,0,8,255,144
36,0,50,6,0,6,0,0,0,116|116|116|116|116|116|45|49,255|255|255|255|255|255|0|32,-6|6|5|-5|5|-5|108|44,0|0|5|5|-5|-5|0|0,-8|8|5|-5|5|-5|32|98,0|0|5|5|-5|-5|100|105,102|104|122|121|141|140|25710|25120,0,0,0,11,1,208
37,0,7,2,0,2,0,0,0,1|1|108|44|98|104|20|0,255|255|0|32|32|109|111|118,0|0|104|44|100|115|58|91,6|6|45|51|50|48|93|-1,0|0|0|0|0|32|32|97,4|-4|32|98|104|44|36|48,227|227|0|8192|24864|25700|25120|11372,0,0,0,26,255,208
38,0,7,2,0,2,0,0,0,1|1|58|91|100|105|43|51,255|255|93|255|12|0|0|0,0|0|32|97|110|100|32|98,-6|-6|36|48|70|-1|11|0,0|0|0|32|32|97|100|100,4|-4|108|44|98|104|10|0,227|227|29472|29288|25120|11372|65330|0,0,0,0,26,255,208
39,0,0,0,0,0,0,0,0,104|44|98|108|11|0|0|0,0|32|32|115|117|98|32|98,104|44|97|108|0|0|0|0,0|-1|11|0|0|0|0|32,32|99|109|112|32|97|108|44,98|108|14|0|0|0|0|32,27168|25964|16416|29287|24933|25972|65394|12,0,0,0,1,255,208
40,60,4,1,0,2,0,0,0,8|8|0|0|0|255|9|0,255|255|0|123|32|32|100|101,4|-4|97|108|16|0|0|0,10|10|32|106|110|99|32|64,0|0|110|111|99|97|114|114,0|0|11|0|0|0|0|32,68|69|24864|11372|27745|14|0|8192,0,0,0,1,255,208
41,120,2,2,0,2,0,0,0,8|8|0|32|32|97|100|100,255|255|108|44|97|104|16|0,5|-5|0|32|32|109|111|118,11|11|115|58|91|100|105|93,0|0|108|-1|8|0|0|0,0|0|32|100|101|99|32|100,68|69|0|8192|27168|31342|16416|29252,0,0,0,1,255,208
42,120,0,2,0,2,0,0,0,8|8|69|110|100|255|0|0,255|255|0|255|11|0|0|0,5|-5|32|64|103|114|101|97,11|11|114|58|10|0|0|0,0|0|32|32|105|110|99|32,0|0|125|-1|13|0|0|0,68|69|25697|8292|27745|24876|32108|11,0,0,0,1,255,208
43,130,4,1,0,1,0,0,0,5|0|0|32|32|99|109|112,255|97|108|44|36|48|69|255,0|0|0|0|0|32|32|106,7|101|32|64|111|107|12|0,0|0|0|32|32|109|111|118,0|97|108|44|36|48|69|-1,94|0|8192|16416|27503|65338|11|0,0,0,0,1,255,208
44,160,6,1,0,1,0,0,0,15|32|32|109|111|118|32|101,255|58|91|100|105|93|44|97,0|-1|8|0|0|0|0|32,8|100|101|99|32|100|105|-1,0|0|0|0|0|32|32|106,0|122|32|64|68|114|97|119,94|28783|10538|0|0|65280|7|0,0,0,0,1,255,208
45,30,1,1,0,1,0,0,0,4|112|32|100|115|255|4|0,255|0|0|101|110|100|59|255,0|0|0|0|0|-1|14|0,11|0|0|32|32|32|32|32,0|32|99|108|114|50|53|54,0|-1|23|0|0|0|0|32,64|8224|8224|29284|30561|26988|25966|10355,0,0,0,1,255,112
46,40,1,1,0,1,0,0,0,6|32|100|114|97|119|108|105,255|101|115|40|102|97|108|115,0|41|59|-1|33|0|0|0,10|32|32|32|32|32|32|32,0|101|99|116|97|110|103|108,0|40|48|44|48|44|51|49,7|14641|11321|14131|15145|33|0|8192,0,0,0,1,255,112
47,50,1,1,0,1,0,0,0,8|44|49|44|51|49|56|44,255|57|56|44|51|53|41|59,0|0|0|0|0|-1|3|0,10|0|0|97|115|109|9|0,0|0|0|32|32|112|117|115,0|32|100|115|21|0|0|0,65|27936|30319|25888|11379|26486|29537|29283,0,0,0,1,255,144
48,30,3,1,0,1,0,0,0,7|100|115|44|116|101|109|112,255|255|16|0|0|0|0|32,0|109|111|118|32|100|105|44,16|50|48|42|50|48|48|-1,0|0|0|0|0|64|68|114,0|119|108|111|111|112|58|-1,208|0|8192|27936|30319|24864|11372|29540,0,0,0,1,255,208
49,0,4,2,0,2,0,0,0,1|1|108|44|97|108|12|0,255|255|0|32|32|106|122|32,-10|10|111|109|111|118|101|-87,0|0|0|0|0|32|32|109,0|0|32|101|115|58|91|100,0|0|44|97|108|9|10|0,39|1|16416|28526|28525|25974|51770|8,0,0,0,8,255,48
50,0,6,4,0,4,0,0,0,1|1|1|1|110|122|32|64,255|255|255|255|108|111|111|112,-9|9|9|-9|0|32|32|112,2|2|-2|-2|115|-121|4|0,-2|2|2|-2|110|100|59|-121,0|0|0|0|0|0|18|0,281|282|301|300|24931|26732|26981|26727,0,0,0,8,255,48
51,0,6,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,-6|6|6|-6|-9|9|0|0,6|6|-6|-6|0|0|9|-9,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,163|164|183|182|39|1|58|77,0,0,0,8,255,48
52,0,6,4,0,4,0,0,0,2|2|2|2|49|93|44|52,255|255|255|255|44|0|0|0,-9|9|9|-9|112|66|111|120,2|2|-2|-2|44|49|48|48,-2|2|2|-2|112|105|110|102,0|0|0|0|105|116|101|109,277|278|297|296|13356|10544|59|18,0,0,0,8,255,48
53,0,6,2,0,2,0,0,0,3|3|61|55|59|0|0|0,255|255|0|0|64|0|0|0,-10|10|117|116|116|101|120|116,0|0|111|110|116|99|101|110,0|0|114|40|109|105|115|99,0|0|120|116|91|53|93|44,102|104|18041|28271|10612|12588|12345|27948,0,0,0,8,255,48
54,0,6,4,0,4,0,0,0,3|3|3|3|0|0|0|95,255|255|255|255|0|112|108|97,-6|6|6|-6|112|108|101|110,6|6|-6|-6|54|41|59|-121,0|0|0|0|0|-121|15|0,0|0|0|0|99|97|108|101,121|122|141|140|15205|0|0|65280,0,0,0,8,255,48
55,40,1,1,0,1,0,0,0,6|117|110|116|105|108|32|97,255|121|98|117|116|116|111|110,0|-1|19|0|0|0|0|107,10|61|35|48|59|32|115|99,0|110|99|111|100|101|58|61,0|59|4|0|0|0|0|101,45|65339|4|0|25856|25710|65339|0,0,0,0,1,255,112
56,20,1,1,0,1,0,0,0,2|101|32|68|111|70|117|110,255|121|83|99|114|101|101|110,-6|-1|5|0|0|0|0|98,6|103|105|110|21|0|0|0,0|32|32|32|32|32|32|32,0|32|32|32|32|32|32|99,121|13618|15158|0|0|65280|41|0,0,0,0,1,255,208
57,20,1,1,0,1,0,0,0,2|49|50|93|62|57|48|32,255|104|101|110|32|116|101|109,6|58|61|51|50|32|101|108,6|101|26|0|0|0|0|32,0|32|32|32|32|105|102|32,0|105|116|101|109|115|91|49,122|12350|29728|25960|65390|45|0|8192,0,0,0,1,255,208
58,20,7,1,0,1,4,3,0,8|91|112|105|116|101|109|115,255|49|50|93|93|46|98|105,0|115|104|105|112|103|114|97,0|104|105|99|10|0|0|0,0|32|32|32|32|32|32|101,0|115|101|-1|50|0|0|0,4|8224|8224|29728|28005|14960|29501|26984,0,0,0,1,255,208
59,10,1,1,2,1,0,0,2,3|93|93|46|98|105|103|115,255|105|112|103|114|97|112|104,0|99|59|-1|0|0|0|0,0|-1|18|0|0|0|0|32,0|32|32|32|32|99|97|115,0|32|116|101|109|112|32|111,112|47|0|8192|8224|8224|8224|8224,0,0,0,13,255,208
60,60,2,2,0,2,0,0,0,4|4|51|53|59|32|116|101,255|255|119|50|58|61|51|51,0|0|101|110|100|59|47|0,10|10|0|32|32|32|32|32,-5|5|32|32|50|56|32|58,0|0|101|103|105|110|32|116,64|64|15674|12595|8251|25972|28781|12919,0,0,0,1,255,208
61,100,2,2,0,2,0,0,0,6|6|32|32|32|32|32|32,255|255|32|58|32|98|101|103,0|0|32|116|101|109|112|119,10|10|51|49|59|32|116|101,-5|5|119|50|58|61|51|53,0|0|101|110|100|59|10|0,76|76|8224|8224|25888|25710|65339|20,0,0,0,1,255,208
62,10,1,1,2,1,0,0,2,2|119|44|51|48|41|59|255,255|0|0|0|0|255|62|0,0|0|0|32|32|32|32|32,0|78|101|119|68|114|97|119,0|83|104|97|112|101|78|117,0|32|32|32|32|32|32|40,112|29808|28521|21358|24936|25968|11379|25972,0,0,0,13,255,208
63,10,1,1,2,1,0,0,2,1|255|0|0|0|0|0|255,255|0|0|0|0|32|32|32,0|32|32|32|32|32|32|32,0|32|32|102|117|110|107|121,0|99|114|101|101|110|59|-1,0|0|0|0|0|32|32|32,168|8224|8224|8224|8224|19488|24943|20580,0,0,0,13,255,208
64,40,4,1,0,1,0,0,0,10|32|32|32|32|32|32|32,255|32|32|32|32|32|32|118,0|97|115|99|114|101|101|110,1|94|58|61|118|103|97|115,-20|114|101|101|110|94|59|-1,10|0|0|0|0|101|110|100,207|0|0|65280|21|0|28672|28530,0,0,8,1,255,208
65,20,2,1,0,1,0,0,0,5|59|4|0|0|0|0|116,255|112|101|255|47|0|0|0,0|32|32|32|32|109|101|110,2|99|104|111|105|99|101|116,-20|112|101|32|61|32|97|114,10|97|121|91|49|46|46|109,207|25965|30062|8285|26223|25120|29817|15205,0,0,8,1,255,208
66,0,0,8,0,8,0,0,0,128|121|187|187|187|187|187|187,255|255|255|255|255|255|255|255,0|0|0|-1|1|0|1|-1,1|1|1|1|1|1|0|0,0|0|0|-12|12|0|20|-20,0|0|0|20|20|-20|-10|-10,171|171|100|171|171|171|171|171,0,0,0,6,255,208
67,0,0,4,0,4,0,0,0,2|2|2|2|54|54|44|54,255|255|255|255|41|59|38|0,3|-3|3|-3|32|32|32|103,3|3|-3|-3|97|116|111|114,0|0|0|0|97|114|114|97,0|0|0|0|46|53|93|32,99|99|99|99|65341|23|0|8192,0,0,0,6,255,208
68,20,1,2,2,2,0,0,0,2|2|57|54|41|59|0|0,255|255|0|255|104|0|0|0,1|-1|32|32|32|114|101|97,2|2|101|97|112|111|110|108,8|-8|116|32|58|32|97|114,0|0|121|91|49|46|46|52,112|112|8294|31074|25972|15648|8224|8224,0,0,0,1,255,208
69,0,0,2,0,2,0,0,0,4|4|32|123|42|32|45|32,255|255|45|52|48|32|97|114,0|0|111|110|108|121|32|102,3|3|32|99|111|109|112|97,-6|6|98|105|108|105|116|121,0|0|88|0|0|0|0|32,260|260|10272|11312|11312|11312|11312|11312,0,0,0,6,255,208
70,10,1,1,2,1,0,0,3,2|44|54|44|48|44|48|44,255|44|48|44|48|44|50|44,0|44|48|44|55|44|48|44,0|44|48|44|49|44|49|44,0|44|49|44|49|44|49|44,-2|44|49|44|49|44|49|44,112|11313|10545|65339|39|0|8192|8224,0,0,0,13,255,208
71,0,0,8,3,8,0,0,0,1|1|1|1|1|1|1|1,8|8|8|8|8|8|8|8,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,2|-2|2|-2|3|-3|0|0,2|2|-2|-2|0|0|3|-3,214|214|214|214|214|214|214|214,0,0,0,12,12,112
72,60,3,3,0,3,0,0,0,4|3|3|49|46|46|55|93,255|255|255|32|119|111|114|100,0|-3|3|0|0|0|0|32,4|3|3|32|32|40|57|50,0|0|0|44|49|49|51|44,0|0|0|44|57|55|44|57,94|140|141|0|0|65280|109|0,0,0,0,13,255,192
73,0,2,8,9,8,0,0,0,2|2|2|2|2|2|2|2,10|10|10|10|10|10|10|10,-9|9|-9|9|-10|10|-10|10,6|-6|-6|6|-3|3|3|-3,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,172|172|172|172|172|172|172|172,0,0,0,0,255,112
74,0,3,2,0,2,0,0,0,1|175|109|112|97|116|105|98,255|255|105|116|121|125|96|0,-7|6|0|32|32|32|32|32,1|6|53|44|49|48|44|52,2|0|44|51|44|54|44|49,0|0|50|44|48|44|48|44,246|255|11320|11321|11312|11312|11313|11312,0,0,0,8,255,208
75,0,3,2,0,2,0,0,0,174|1|48|44|48|44|48|44,255|255|44|49|44|49|44|49,-6|7|44|49|44|49|44|49,6|1|44|49|44|52|44|49,0|-2|59|-1|41|0|0|0,0|0|32|32|32|102|114|111,255|246|28769|28271|8312|8250|29281|24946,0,0,0,8,255,208
76,40,4,4,0,4,0,0,0,4|4|4|4|0|0|0|32,255|255|255|255|32|40|53|56,-5|-5|5|5|54|53|44|53,0|0|0|0|44|53|48|44,0|0|0|0|48|44|54|48,0|14|0|14|53|50|44|53,105|124|106|125|8192|8224|26144|28530,0,0,0,6,255,208
77,0,0,8,0,8,0,0,0,5|5|5|5|5|5|5|5,16|16|16|16|16|16|16|16,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,244|244|244|244|244|244|244|244,0,0,0,11,1,112
78,90,1,3,2,3,0,0,0,2|2|2|112|108|97|110|101,255|255|255|58|32|97|114|114,0|1|-1|49|46|46|50|49,4|3|3|102|32|119|111|114,0|0|0|-1|106|0|0|0,0|0|0|32|32|32|32|40,225|225|225|12341|8236|13362|11312|8224,0,0,0,13,255,208
79,0,0,4,0,4,0,0,0,1|1|1|1|50|54|48|44,255|255|255|255|44|32|49|53,0|0|0|0|54|48|44|32,14|14|14|14|32|32|56|48,3|13|32|42|44|50|50|48,-18|-14|-12|-18|48|44|51|49,286|286|286|286|11312|13362|11312|12338,0,0,0,6,255,208
80,120,1,4,2,4,0,0,0,2|2|2|2|32|58|32|97,255|255|255|255|91|49|46|46,2|-1|2|-1|111|102|32|119,4|4|-4|-4|61|-1|106|0,0|0|0|0|32|32|32|32,0|0|0|0|48|44|32|32,225|225|225|225|8224|12344|8236|14129,0,0,0,13,255,208
81,80,2,8,0,8,0,0,0,1|1|1|1|1|1|1|1,255|255|255|255|255|255|255|255,-10|10|-7|7|0|-7|7|0,0|0|7|7|-10|-7|-7|10,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,77|58|182|163|1|183|164|39,0,0,0,6,255,208
82,30,4,3,0,3,0,0,0,1|1|1|115|32|58|32|97,255|255|255|121|91|49|46|46,0|-10|10|32|111|102|32|98,10|0|0|32|61|15|91|0,0|0|0|32|32|32|32|32,0|0|0|49|44|32|50|44,58|39|1|13600|8236|11318|14112|8236,0,0,0,6,255,208
83,40,4,2,0,2,0,0,0,1|1|32|44|49|52|44|48,255|255|53|44|49|54|44|49,5|-5|53|44|49|48|44|57,8|8|44|49|54|44|49|44,0|0|44|49|44|57|44|57,0|0|50|44|50|44|56|0,227|227|8224|8224|8224|12576|12588|12588,0,0,0,10,255,208
84,20,2,2,0,2,0,0,0,2|184|32|32|123|67|111|109,255|255|116|105|98|105|108|105,0|0|32|114|101|97|115|111,8|6|125|0|0|0|0|0,0|0|10|0|0|0|0|32,0|0|32|123|77|101|110|117,98|98|0|8192|8224|27936|28261|25461,0,0,0,6,1,208
85,80,3,8,0,8,0,0,0,1|2|1|2|1|2|1|2,255|255|255|255|255|255|255|255,120|120|120|120|120|120|120|120,8|8|8|8|8|8|8|8,0|0|-12|-12|12|12|-24|-24,0|14|0|14|0|14|0|14,157|159|157|159|157|159|157|159,0,0,0,6,255,208
86,10,2,1,0,1,0,0,0,189|0|0|0|0|32|32|32,255|42|32|68|97|116|97|32,0|115|101|100|32|102|111|114,0|73|116|101|109|83|99|114,0|101|110|32|112|114|111|99,0|100|117|114|101|32|116|111,238|25710|25449|29793|8293|29801|28005|8307,1,0,0,6,255,208
87,0,8,1,0,1,0,0,0,30|32|32|32|73|116|101|109,4|118|97|105|108|32|58|32,120|114|114|97|121|91|49|46,120|57|44|49|46|46|49|48,-40|32|111|102|32|98|121|116,-30|59|38|0|0|0|0|32,60034|29769|28005|30305|26977|28012|30817|14880,0,0,0,1,255,208
88,30,3,3,0,3,0,0,0,20|20|20|101|59|255|56|0,255|255|255|32|32|32|112|108,120|120|120|116|100|111|116|120,10|10|10|97|110|101|116|100,-32|-32|-32|32|58|32|97|114,-24|0|28|91|49|46|46|53,60023|60024|60025|8285|26223|26912|29806|26469,0,0,0,6,255,208
89,20,2,2,3,2,0,0,0,189|1|100|111|116|115|32|58,255|255|114|114|97|121|91|49,0|0|53|93|32|111|102|32,-1|-1|116|101|59|-1|39|0,0|0|0|32|32|32|99|117,-1|-1|101|110|116|100|111|116,107|107|30051|29298|28261|25716|29807|24951,-1,0,0,6,255,208
90,0,0,8,3,8,0,0,0,5|5|5|5|5|5|5|5,16|16|16|16|16|16|16|16,1|-1|1|-1|0|2|-2|0,1|1|-1|-1|2|0|0|-2,6|-6|6|-6|0|8|-8|0,6|6|-6|-6|8|0|0|-8,214|214|214|214|214|214|214|214,0,0,0,11,1,112
91,40,4,4,0,4,0,0,0,3|1|1|3|0|255|37|0,255|255|255|255|32|32|109|97,0|-2|2|0|32|58|32|97,10|7|7|10|91|49|46|46,0|0|0|0|48|48|93|32,6|0|0|-6|121|116|101|59,60|201|202|60|30050|27750|25455|14880,0,0,0,6,255,208
